관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,용적율,주건축물수,세대수,가구수,주차_대수
11260-621,,지상,서울특별시 중랑구 공릉로18길 59,338.13,7,587,0,678
11560-622,,지상,서울특별시 영등포구 경인로 755,0.0,7,0,0,0
11230-1179,,지상,서울특별시 동대문구 사가정로 190,0.0,16,2446,0,0
11305-100238144,,지상,서울특별시 강북구 솔매로 3-8,134.23,2,0,2,0
11650-100199039,,지상,서울특별시 서초구 양재대로12길 73-71,15.95,2,0,0,145
11320-173,,지상,서울특별시 도봉구 삼양로 620,29.33,6,0,0,4
11740-100243664,,지상,서울특별시 강동구 고덕로80길 134,249.723,14,687,0,917
11110-578,,지상,서울특별시 종로구 대학로 156,69.95,6,0,0,146
11740-142,,지상,서울특별시 강동구 풍성로 114-1,372.88,3,349,0,343
11290-565,,지상,서울특별시 성북구 길음로 141,0.0,4,253,0,0
11260-7,,지상,서울특별시 중랑구 신내로19길 42,187.26,16,1609,0,915
11740-393,,지상,서울특별시 강동구 구천면로24길 13,379.82,2,0,1,4
11380-100195353,,지상,서울특별시 은평구 갈현로15길 51,115.74,2,0,0,108
11560-1839,,지상,서울특별시 영등포구 신길로 190,47.56,4,0,0,0
11170-50,,지상,서울특별시 용산구 이촌로87길 21,317.2,9,787,0,787
11290-100215352,,지상,정릉동 966-4,199.14,2,16,0,13
11620-443,,지상,서울특별시 관악구 호암로18나길 30,195.66,2,14,0,8
11260-510,,지상,면목동 993-0,0.0,2,0,2,0
11740-100212231,,지상,암사동 466-9,156.04,2,24,0,15
11740-100186518,,지상,서울특별시 강동구 성내로 60,435.85,2,0,0,37
11650-323,,지상,서울특별시 서초구 반포대로 222,188.85,8,0,0,2313
11650-28,,지상,서울특별시 서초구 방배로 249,0.0,2,80,0,0
11320-59,,지상,서울특별시 도봉구 마들로 599,49.68,2,0,0,7
11500-230,,지상,서울특별시 강서구 허준로 23,0.0,12,990,0,0
11260-296,,지상,중화동 13-0,0.0,3,0,4,0
11260-568,,지상,서울특별시 중랑구 동일로136나길 57,44.22,3,0,3,2
11260-631,,지상,중화동 130-10,0.0,3,0,2,0
11530-6,,지상,서울특별시 구로구 경인로 213,0.0,2,0,0,0
11350-532,,지상,서울특별시 노원구 공릉로27길 110,0.0,1,181,0,0
11230-507,,지상,용두동 236-38,0.0,0,0,2,0
11530-638,,지상,서울특별시 구로구 경인로 158,317.86,2,152,0,122
11530-641,,지상,서울특별시 구로구 신도림로 56-13,293.27,7,411,0,562
11680-100198307,,지상,서울특별시 강남구 남부순환로 2912,0.0,6,450,0,0
11650-491,,지상,서울특별시 서초구 효령로68길 13,0.0,7,412,0,0
11440-1558,,지상,서울특별시 마포구 만리재옛길 13,69.78,4,0,0,0
11260-523,,지상,서울특별시 중랑구 봉화산로 153,0.0,8,1000,0,251
11710-371,,지상,서울특별시 송파구 성내천로 314,226.36,4,173,0,210
11530-541,,지상,서울특별시 구로구 경인로 213-1,0.0,2,0,0,0
11290-823,,지상,서울특별시 성북구 지봉로21길 19,233.7,8,431,0,480
11545-35,,지상,서울특별시 금천구 독산로 3,126.61,2,0,1,0
11680-100282423,,지상,개포동 1280-0,249.99,24,1957,0,3153
11680-100188447,,지상,서울특별시 강남구 남부순환로 3022,61.07,4,0,0,22
11740-356,,지상,서울특별시 강동구 고덕로62길 126,186.87,2,120,0,81
11530-75,,지상,서울특별시 구로구 신도림로11가길 36,0.0,7,824,0,0
11305-100225993,,지상,미아동 791-1544,197.49,2,24,0,19
11290-100183892,,지상,서울특별시 성북구 보국문로 116,179.25,19,522,0,601
11230-707,,지상,전농동 206-28,0.0,0,0,3,0
11740-322,,지상,서울특별시 강동구 천중로 210,79.07,2,0,4,5
