관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,용적율,지상층수,지하층수,승강기_수,주차_대수
11740-14483,,지상,서울특별시 강동구 천호옛길 33-1,0.0,2,1,0,0
11110-5346,,지상,서울특별시 종로구 북촌로12길 35-8,61.4562,1,0,0,0
11560-4926,,지상,서울특별시 영등포구 영등포로 237,0.0,3,1,0,0
11560-14677,,지상,서울특별시 영등포구 도림로141나길 30-1,0.0,1,0,0,0
11680-8992,,지상,서울특별시 강남구 논현로136길 5-7,137.12,3,1,0,4
11680-23568,,지상,서울특별시 강남구 개포로31길 15-3,246.28,5,1,0,6
11680-16682,,지상,서울특별시 강남구 논현로159길 45,178.84,3,1,0,3
11680-12427,,지상,서울특별시 강남구 선릉로141길 18-8,176.44,4,0,0,4
11740-100297028,11740-100296342,지상,서울특별시 강동구 고덕로98길 161,0.0,0,1,0,0
11740-100297031,11740-100296342,지상,서울특별시 강동구 고덕로98길 161,0.0,0,1,0,0
11650-3234,,지상,서울특별시 서초구 방배로28길 6,194.66,5,1,0,5
11650-18486,,지상,서울특별시 서초구 홍씨마을길 40,0.0,1,1,0,0
11650-15911,,지상,서울특별시 서초구 반포대로30길 55,0.0,5,1,0,0
11650-14234,,지상,서울특별시 서초구 서초대로77길 35,166.6,4,1,0,2
11530-21988,,지상,서울특별시 구로구 디지털로19길 13,0.0,4,1,0,0
11710-8866,,지상,서울특별시 송파구 마천로21길 9-3,0.0,5,1,0,3
11710-7730,,지상,서울특별시 송파구 성내천로32길 20-3,0.0,3,1,0,2
11710-5665,,지상,서울특별시 송파구 오금로11길 30-16,139.14,3,1,0,1
11110-100199126,,지상,서울특별시 종로구 북촌로4길 23,142.5887,3,1,0,2
11650-12540,,지상,서울특별시 서초구 동광로 166,254.85,5,1,1,8
11650-12126,,지상,서울특별시 서초구 서초중앙로 253,299.88,6,1,1,10
11590-22792,,지상,서울특별시 동작구 시흥대로 658,189.85,4,1,0,0
11110-11862,,지상,서울특별시 종로구 통일로 246-1,0.0,3,1,0,0
11215-23264,,지상,서울특별시 광진구 아차산로29길 26,0.0,3,1,0,1
11560-30614,,지상,서울특별시 영등포구 대림로 196,0.0,4,1,0,0
11650-2187,,지상,서울특별시 서초구 방배중앙로25길 24,0.0,2,1,0,0
11290-28598,,지상,서울특별시 성북구 화랑로 111-8,251.27,6,0,1,6
11290-18772,,지상,서울특별시 성북구 솔샘로6길 46,0.0,4,0,0,0
11170-1954,,지상,서울특별시 용산구 한강대로46길 16,199.53,4,1,0,5
11350-100211152,,지상,서울특별시 노원구 동일로 1015,34.1985,2,0,0,6
11380-38157,,지상,서울특별시 은평구 증산로5길 15,0.0,4,1,0,5
11350-100222188,,지상,서울특별시 노원구 공릉로65길 7,59.83,1,0,0,0
11380-19405,,지상,서울특별시 은평구 통일로65길 10-1,148.15,2,0,0,0
11380-2199,11380-614,지상,서울특별시 은평구 수색로 266-6,0.0,2,0,0,0
11320-100193436,11320-100193435,지상,서울특별시 도봉구 도봉로140길 37,0.0,2,0,0,2
11410-13769,,지상,서울특별시 서대문구 연희로26나길 22,58.52,2,0,0,2
11380-2200,11380-614,지상,서울특별시 은평구 수색로 266-6,0.0,1,0,0,0
11380-2201,11380-614,지상,서울특별시 은평구 수색로 266-6,0.0,1,0,0,0
11380-2202,11380-614,지상,서울특별시 은평구 수색로 266-6,0.0,1,0,0,0
11470-19599,,지상,서울특별시 양천구 신월로17길 11,0.0,2,1,0,0
11470-21264,,지상,서울특별시 양천구 남부순환로 357,0.0,3,1,0,0
11200-15948,,지상,서울특별시 성동구 한림말5길 15,162.15,3,1,0,2
11380-20106,,지상,서울특별시 은평구 통일로71길 8,0.0,5,1,0,4
11740-1416,,지상,서울특별시 강동구 아리수로61길 105,37.04,1,1,0,0
11410-9353,,지상,서울특별시 서대문구 통일로 455,106.0922,3,1,0,0
11740-8545,,지상,서울특별시 강동구 풍성로 245,0.0,6,1,0,6
11200-21373,,지상,서울특별시 성동구 연무장3길 6,167.6615,3,1,0,1
11380-100205004,,지상,서울특별시 은평구 대서문길 19,170.12,3,1,0,5
11260-11992,,지상,서울특별시 중랑구 면목로38길 9,252.66,5,0,0,4
11290-11895,,지상,서울특별시 성북구 보문로30길 30-4,55.33,1,0,0,0
11410-100185249,11410-100185248,지상,서울특별시 서대문구 거북골로14길 32,0.0,0,3,0,0
11305-3035,,지상,서울특별시 강북구 솔매로50길 29,94.86,2,0,0,0
11410-14695,,지상,서울특별시 서대문구 연희로 108,0.0,3,1,0,0
11320-9470,,지상,서울특별시 도봉구 덕릉로 272,192.93,4,1,0,8
11260-16757,,지상,서울특별시 중랑구 상봉중앙로1길 82,312.56,5,1,0,0
11620-11169,,지상,서울특별시 관악구 관천로 17,284.05,5,1,1,3
11260-6447,,지상,서울특별시 중랑구 봉우재로 25,146.62,3,1,0,0
11620-26741,,지상,서울특별시 관악구 관천로10길 30,276.43,5,1,0,0
11560-32317,,지상,서울특별시 영등포구 디지털로 412,296.91,6,1,1,8
11470-20976,,지상,서울특별시 양천구 곰달래로2길 17,0.0,3,1,0,0
11380-100318555,,지상,서울특별시 은평구 통일로 598-3,196.58,5,0,1,3
11590-27060,,지상,서울특별시 동작구 동작대로43길 1-3,297.13,5,1,1,7
11590-25474,,지상,서울특별시 동작구 양녕로30길 4,184.27,4,1,0,0
11230-22665,,지상,서울특별시 동대문구 답십리로23길 113,0.0,1,1,0,0
11230-22174,,지상,서울특별시 동대문구 이문로28길 15,189.17,4,1,0,3
11260-7446,,지상,서울특별시 중랑구 면목로33길 70,192.05,4,1,0,0
11260-16000,,지상,서울특별시 중랑구 동일로 715,286.17,7,1,0,8
11530-12844,,지상,서울특별시 구로구 도림로 83,0.0,3,1,0,0
11305-20340,,지상,서울특별시 강북구 도봉로 403,199.98,5,1,0,11
11290-25729,,지상,서울특별시 성북구 월곡로5길 34,226.94,4,1,0,4
11200-6177,,지상,서울특별시 성동구 청계천로10가길 72-14,212.89,4,1,0,4
11380-100299554,,지상,서울특별시 은평구 진관길 4,93.57,2,1,0,0
11380-15404,,지상,서울특별시 은평구 연서로 183-12,51.27,1,0,0,0
11410-6881,,지상,서울특별시 서대문구 통일로 356,0.0,3,1,0,0
11470-100241348,,지상,서울특별시 양천구 신정이펜1로 90,292.81,5,1,1,16
11215-11696,,지상,서울특별시 광진구 구의로16길 89,234.92,5,1,0,8
11380-40014,,지상,서울특별시 은평구 진관4로 78-49,82.86,3,0,0,3
11710-20240,,지상,서울특별시 송파구 새말로 103,213.3465,5,1,0,4
11710-19976,,지상,서울특별시 송파구 백제고분로22길 27,191.08,4,1,0,3
11710-18949,,지상,서울특별시 송파구 새말로8길 28,0.0,3,1,0,3
11710-14789,,지상,서울특별시 송파구 삼전로9길 6,286.22,6,1,1,15
11710-12011,,지상,서울특별시 송파구 백제고분로45길 34,290.11,6,1,1,8
