관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,용적율,지상층수,지하층수,승강기_수,주차_대수
11590-100241986,11590-100241435,지상,서울특별시 동작구 사당로23길 112,0.0,1,0,0,0
11530-7503,,지상,서울특별시 구로구 구로중앙로 217,369.18,8,1,3,49
11530-2719,11530-844,지상,서울특별시 구로구 오리로21가길 47-10,0.0,3,1,0,0
11530-2718,11530-844,지상,서울특별시 구로구 오리로21가길 47-10,0.0,1,0,0,0
11530-22437,,지상,서울특별시 구로구 구로중앙로19길 28,197.13,4,1,0,2
11530-17081,,지상,서울특별시 구로구 개봉로 68,199.84,4,1,0,3
11530-12625,,지상,서울특별시 구로구 구로중앙로 210,173.56,5,1,1,12
11530-100189765,,지상,서울특별시 구로구 중앙로6길 40,155.24,3,0,0,3
11590-100188912,,지상,서울특별시 동작구 만양로14마길 7,189.2,4,2,0,4
11200-10473,,지상,서울특별시 성동구 고산자로6길 40,246.48,8,3,3,155
11200-6580,,지상,서울특별시 성동구 고산자로22길 13-1,175.4,4,1,0,2
11200-4536,11200-1211,지상,서울특별시 성동구 마장로 230-1,219.7,5,1,0,6
11200-21629,11200-756,지상,서울특별시 성동구 성수이로 77,199.19,4,1,0,4
11260-23720,,지상,서울특별시 중랑구 중랑역로 204,138.12,5,1,0,7
11260-18316,,지상,서울특별시 중랑구 봉화산로 49,144.36,3,1,0,0
11260-1000000000000001524604,,지상,서울특별시 중랑구 용마산로94길 74,199.88,5,0,1,3
11590-13843,,지상,서울특별시 동작구 동작대로 51,233.33,4,1,0,0
11140-16604,,지상,서울특별시 중구 퇴계로90길 18,150.46,3,0,0,1
11710-14776,,지상,서울특별시 송파구 오금로36길 26,162.88,4,1,0,3
11290-100202635,,지상,서울특별시 성북구 보문로29길 64,199.9033,6,1,1,11
11680-5670,,지상,서울특별시 강남구 선릉로64길 5,232.92,5,1,1,6
11140-7295,,지상,서울특별시 중구 퇴계로50길 24,147.87,3,1,0,3
11620-18262,,지상,서울특별시 관악구 관천로22길 43,168.63,4,1,0,0
11110-26788,,지상,서울특별시 종로구 경희궁2길 14,288.95,5,1,1,8
11170-1000000000000001641760,,지상,서울특별시 용산구 신흥로7길 58-1,130.82,3,1,0,1
11620-1000000000000001062779,,지상,서울특별시 관악구 양녕로2길 21,197.92,4,0,0,2
11620-33784,,지상,서울특별시 관악구 관천로11길 15,0.0,3,1,0,0
11170-12054,,지상,서울특별시 용산구 회나무로 32-3,153.0,5,1,0,0
11200-6515,11200-719,지상,서울특별시 성동구 마장로33길 79,0.0,2,1,0,0
11500-1000000000000001315208,,지상,서울특별시 강서구 화곡로15길 23,102.09,3,0,3,3
11140-17578,11140-731,지상,신당동 241-5,0.0,3,0,0,0
11590-100193852,,지상,서울특별시 동작구 상도로26길 22,286.77,6,1,1,0
11380-30439,,지상,서울특별시 은평구 연서로 94,0.0,5,1,0,0
11140-1000000000000001425922,,지상,서울특별시 중구 마른내로12길 17-26,293.3699,5,1,1,1
11170-7692,,지상,서울특별시 용산구 한강대로72길 17-14,0.0,1,0,0,0
11200-6967,11200-697,지상,마장동 574-0,0.0,1,0,0,0
11260-5024,11260-66,지상,서울특별시 중랑구 동일로 606,245.13,6,1,1,15
11440-11816,,지상,서울특별시 마포구 독막로 248,0.0,4,1,0,0
11215-12671,,지상,서울특별시 광진구 광나루로36길 27,196.99,4,1,0,4
11290-10540,,지상,서울특별시 성북구 보문로30길 43-4,94.23,2,1,0,0
11200-1000000000000001316083,,지상,서울특별시 성동구 고산자로8길 24-6,199.61,5,0,0,1
11710-14780,,지상,서울특별시 송파구 중대로16길 12-1,232.01,5,0,1,4
11110-7209,,지상,서울특별시 종로구 사직로10길 13,0.0,1,0,0,0
11200-1000000000000001617821,,지상,서울특별시 성동구 아차산로17길 14-1,263.26,5,1,1,4
11200-1000000000000001617847,,지상,서울특별시 성동구 왕십리로8길 22,25.34,1,0,0,2
11170-17438,,지상,서울특별시 용산구 회나무로6길 11-25,188.9394,2,0,0,0
11290-11771,,지상,서울특별시 성북구 아리랑로6길 4,0.0,2,1,0,0
11110-1000000000000000431084,,지상,서울특별시 종로구 필운대로5다길 19,83.35,2,0,0,0
11170-5855,,지상,서울특별시 용산구 한강대로17길 11,172.1,4,1,0,4
11140-1000000000000001428297,,지상,서울특별시 중구 퇴계로 452-1,738.63,15,2,1,2
11170-13083,,지상,서울특별시 용산구 보광로60길 14-13,0.0,2,1,0,0
11230-10162,,지상,서울특별시 동대문구 회기로 151-1,0.0,1,0,0,0
11170-11266,,지상,서울특별시 용산구 소월로 134,51.41,2,1,0,0
11110-11461,,지상,서울특별시 종로구 대학로11길 17-3,44.2,1,0,0,0
11110-25046,,지상,서울특별시 종로구 혜화로16길 44,83.67,3,1,0,0
11110-29155,,지상,서울특별시 종로구 율곡로 217-1,0.0,1,0,0,0
11110-100202837,,지상,서울특별시 종로구 삼청로 135,133.62,3,1,1,4
11140-13231,,지상,서울특별시 중구 충무로 50-6,0.0,3,0,0,0
11470-16382,,지상,서울특별시 양천구 목동중앙남로 51-1,0.0,3,1,0,0
11740-6880,,지상,서울특별시 강동구 천중로43길 72,229.0,5,1,0,7
11215-1361,,지상,서울특별시 광진구 능동로44길 11,0.0,3,1,0,3
11140-100234062,,지상,서울특별시 중구 을지로 66,0.0,6,0,3,0
11140-100234063,,지상,서울특별시 중구 을지로 66,0.0,1,0,0,0
11140-11895,,지상,서울특별시 중구 을지로38길 28-1,0.0,3,1,0,1
11470-100183614,11470-100183612,지상,서울특별시 양천구 안양천로 683,0.0,2,0,0,0
11140-16092,,지상,서울특별시 중구 다산로 232,247.32,5,1,0,9
11140-21780,,지상,서울특별시 중구 동호로14길 24,154.74,3,1,0,4
11140-25636,,지상,서울특별시 중구 만리재로 207-11,161.31,5,1,0,4
11110-100188447,,지상,서울특별시 종로구 성균관로5길 63,149.907,4,1,0,4
11110-25952,,지상,서울특별시 종로구 대학로11길 17-6,42.21,1,0,0,0
11110-100228365,,지상,서울특별시 종로구 동숭길 145,239.52,5,2,1,6
11110-11027,,지상,서울특별시 종로구 자하문로 125-10,48.13,2,1,0,3
11710-22638,,지상,서울특별시 송파구 백제고분로27길 5,0.0,3,1,0,3
11200-100213537,,지상,서울특별시 성동구 광나루로 240-30,279.96,6,0,1,3
11740-100189318,,지상,서울특별시 강동구 올림픽로91길 12,319.4,7,0,1,1
11230-11219,,지상,서울특별시 동대문구 휘경로 33-4,116.36,2,1,0,1
11230-18795,,지상,서울특별시 동대문구 답십리로72길 22,189.83,4,1,0,4
11470-20424,,지상,서울특별시 양천구 신목로 23-4,143.65,3,0,0,0
11110-25842,,지상,서울특별시 종로구 창덕궁길 29-22,46.3911,1,0,0,0
11170-19321,,지상,서울특별시 용산구 새창로45길 8,236.19,5,1,0,5
11710-10181,,지상,서울특별시 송파구 오금로17길 5-13,164.8,3,1,0,3
11110-26613,,지상,서울특별시 종로구 대학로11길 17-2,47.63,1,0,0,0
11470-100233888,,지상,서울특별시 양천구 신월로16길 8,271.26,6,0,1,6
11110-100211886,11110-100211004,지상,서울특별시 종로구 송월길 99,0.0,2,0,0,0
11110-23187,,지상,서울특별시 종로구 팔판길 40-5,0.0,1,0,0,0
11110-17028,,지상,서울특별시 종로구 백석동길 11-17,46.2,2,1,0,3
11110-16833,,지상,서울특별시 종로구 경희궁1길 15,0.0,3,1,0,0
11320-10726,,지상,서울특별시 도봉구 덕릉로60다길 14,98.52,2,1,0,1
11680-875,11680-91,지상,서울특별시 강남구 양재대로 781,49.26,3,1,0,149
11110-11054,,지상,서울특별시 종로구 자하문로24길 24,38.7994,1,0,0,0
11110-28176,,지상,서울특별시 종로구 삼청로2길 27,57.24,1,0,0,0
11680-5850,,지상,서울특별시 강남구 개포로15길 39,37.33,1,1,0,2
11110-8609,,지상,서울특별시 종로구 계동길 19-8,51.9947,2,0,0,0
11740-1000000000000001591681,,지상,서울특별시 강동구 아리수로93나길 80,296.95,5,2,2,28
11110-9035,,지상,서울특별시 종로구 종로 142,0.0,2,0,0,0
11110-9405,,지상,서울특별시 종로구 자하문로4길 7,0.0,1,0,0,0
11410-100229534,11410-100229143,지상,서울특별시 서대문구 통일로 510,0.0,1,3,1,0
11110-6320,,지상,서울특별시 종로구 북촌로5나길 3-7,0.0,1,1,0,0
11110-6131,,지상,서울특별시 종로구 율곡로19길 27,212.58,5,1,0,2
11620-29607,,지상,서울특별시 관악구 쑥고개로 24,0.0,2,1,0,0
11680-12444,,지상,서울특별시 강남구 도산대로1길 20,0.0,5,1,0,0
11680-12411,,지상,서울특별시 강남구 테헤란로78길 8,534.7,9,2,1,10
11440-1000000000000001544516,,지상,서울특별시 마포구 월드컵로11길 46-14,199.48,4,0,1,2
11545-2586,11545-509,지상,서울특별시 금천구 범안로15길 4,0.0,3,1,0,0
11440-100187732,,지상,서울특별시 마포구 어울마당로 100-6,191.37,4,0,1,3
11440-1000000000000000467180,11440-100770937,지상,서울특별시 마포구 서강로 65,240.95,7,1,1,21
11530-12992,,지상,서울특별시 구로구 남부순환로97길 12,393.91,7,2,1,12
11650-18171,11650-399,지상,서울특별시 서초구 서초대로65길 13-10,0.0,3,2,0,0
11680-10075,,지상,서울특별시 강남구 논현로 58,214.07,5,1,0,6
11440-27972,,지상,서울특별시 마포구 동교로 256-10,118.59,3,1,0,0
11440-20023,,지상,서울특별시 마포구 양화로11길 60,270.73,5,1,1,12
11110-3498,,지상,서울특별시 종로구 자하문로 19-1,0.0,3,1,0,0
11680-1000000000000001242091,,지상,서울특별시 강남구 강남대로110길 24,0.0,0,1,0,5
11680-5323,,지상,서울특별시 강남구 선릉로82길 47,255.73,5,0,0,8
11110-3506,,지상,서울특별시 종로구 북촌로 133,53.43,3,1,0,0
11440-100255283,,지상,서울특별시 마포구 동교로38안길 24,197.11,4,0,0,2
11680-100198507,,지상,서울특별시 강남구 삼성로 553,249.98,7,3,1,25
11680-1000000000000001242117,,지상,서울특별시 강남구 강남대로110길 26,0.0,0,2,1,14
11410-25185,,지상,서울특별시 서대문구 거북골로23길 58-3,81.4,2,1,0,0
11440-27782,,지상,서울특별시 마포구 성미산로31길 11-10,0.0,1,1,0,0
11500-16511,,지상,서울특별시 강서구 강서로5나길 82,359.1,6,1,1,6
11680-1000000000000001585277,,지상,서울특별시 강남구 도산대로45길 18-2,140.93,4,3,2,11
11680-1000000000000001560847,,지상,서울특별시 강남구 봉은사로20길 27,98.17,2,2,1,11
11680-1000000000000001370499,,지상,서울특별시 강남구 언주로107길 33,148.4987,4,4,1,11
11500-19783,,지상,서울특별시 강서구 공항대로3길 5,0.0,1,0,0,0
11440-19825,,지상,서울특별시 마포구 양화로 113,0.0,9,2,1,16
11680-17091,,지상,서울특별시 강남구 봉은사로68길 57,274.99,5,0,1,6
11710-100226203,,지상,서울특별시 송파구 올림픽로 145,238.86,5,3,4,0
11170-27419,,지상,서울특별시 용산구 이태원로19길 6-6,188.66,3,1,0,0
11620-1000000000000001469224,,지상,서울특별시 관악구 난곡로34길 3-6,299.44,8,1,1,7
11590-12278,,지상,서울특별시 동작구 상도로 200,93.63,1,0,0,0
11110-13755,,지상,이화동 9-59,28.5,2,0,0,0
11650-100218653,,지상,서울특별시 서초구 강남대로53길 7,783.68,14,6,3,32
11680-1000000000000001328782,,지상,서울특별시 강남구 삼성로107길 12,248.9556,7,1,1,5
11110-25646,,지상,서울특별시 종로구 종로14길 9,385.95,5,1,1,0
11545-17397,,지상,서울특별시 금천구 시흥대로 78,86.72,3,1,0,0
11530-7544,,지상,서울특별시 구로구 구로동로35가길 10-3,0.0,2,1,0,0
11440-29071,,지상,서울특별시 마포구 성미산로17길 105-4,142.3,3,1,0,0
11590-7077,,지상,서울특별시 동작구 사당로 222,0.0,4,1,0,0
11380-34934,,지상,서울특별시 은평구 가좌로 296,175.73,4,1,0,0
11680-100200827,,지상,서울특별시 강남구 언주로 314,229.86,5,2,2,39
11680-19411,,지상,서울특별시 강남구 가로수길 54,117.2,2,1,0,0
11650-15575,,지상,서울특별시 서초구 반포대로 77,315.21,7,3,1,33
11680-19547,,지상,서울특별시 강남구 삼성로81길 28-2,162.3,4,1,0,3
11680-19810,,지상,서울특별시 강남구 압구정로50길 14,115.44,2,1,0,2
11650-16955,,지상,서울특별시 서초구 서초대로 331,277.98,6,1,1,7
11650-100288456,,지상,서울특별시 서초구 사임당로 158,244.17,5,3,3,99
11680-1000000000000000399486,,지상,서울특별시 강남구 삼성로64길 49,188.35,6,0,1,6
11200-19579,,지상,서울특별시 성동구 서울숲2길 11-13,97.67,2,1,0,0
11710-18487,,지상,서울특별시 송파구 마천로 2,0.0,5,1,0,6
11710-19447,,지상,서울특별시 송파구 백제고분로39길 36,0.0,3,1,0,0
11215-26419,,지상,서울특별시 광진구 능동로 243-1,248.74,5,1,1,8
11215-1000000000000001524330,,지상,서울특별시 광진구 자양로42길 8,221.45,5,0,1,4
11230-36524,,지상,서울특별시 동대문구 휘경로 33-6,121.52,2,1,0,0
11230-10458,,지상,서울특별시 동대문구 난계로26길 69,0.0,2,1,0,0
11500-22705,,지상,서울특별시 강서구 화곡로 241,65.13,3,1,0,2
11530-100263887,,지상,서울특별시 구로구 연동로 197,249.9,5,2,1,17
11200-4728,,지상,서울특별시 성동구 무학로10길 18-1,249.41,5,1,0,5
11200-1000000000000001628885,,지상,서울특별시 성동구 왕십리로10길 9-2,399.71,8,2,1,8
11500-100359654,,지상,서울특별시 강서구 방화대로31길 2,248.74,6,1,0,6
11290-100191207,,지상,서울특별시 성북구 고려대로24길 3-28,240.76,6,0,1,5
11500-11371,,지상,화곡동 1119-11,0.0,7,1,1,10
11260-1000000000000001368525,,지상,서울특별시 중랑구 면목로45길 3-2,250.79,5,1,1,3
11215-23626,,지상,서울특별시 광진구 동일로30길 49,0.0,1,0,0,0
11215-15007,,지상,서울특별시 광진구 광나루로56길 85,579.97,39,6,34,2184
11215-11231,,지상,서울특별시 광진구 자양로 246,0.0,3,1,0,4
11530-100196298,,지상,서울특별시 구로구 부일로17길 5,177.45,3,0,0,2
11530-1000000000000001560629,,지상,서울특별시 구로구 연동로13길 7,183.931,5,1,1,11
11440-1000000000000001410251,,지상,서울특별시 마포구 성미산로23안길 20-12,170.04,3,0,0,1
11215-13903,,지상,서울특별시 광진구 뚝섬로67가길 2,0.0,4,1,0,2
11230-7366,,지상,서울특별시 동대문구 회기로13길 9,185.72,4,1,0,4
11200-100248057,,지상,서울특별시 성동구 광나루로11길 20,199.57,5,0,1,3
11200-10314,,지상,서울특별시 성동구 마조로 11,0.0,3,1,0,0
11215-100189003,,지상,서울특별시 광진구 긴고랑로 60,199.08,6,0,1,7
11200-12393,,지상,서울특별시 성동구 무수막길 95,127.72,3,1,0,0
11215-17104,,지상,서울특별시 광진구 능동로 31,0.0,3,1,0,0
11740-17805,,지상,서울특별시 강동구 상암로5길 49,0.0,3,1,0,0
11530-19348,,지상,서울특별시 구로구 경인로31길 98,251.24,5,1,0,9
11530-6424,,지상,서울특별시 구로구 구로동로 10,218.86,4,1,0,9
11230-14266,,지상,서울특별시 동대문구 회기로 121-1,0.0,2,1,0,0
11740-100297902,,지상,서울특별시 강동구 고덕로83길 32,189.73,4,0,1,3
11350-15078,,지상,서울특별시 노원구 동일로217가길 27,288.49,5,1,0,6
11410-6132,,지상,서울특별시 서대문구 북아현로4가길 35-18,198.13,4,1,0,13
11200-19596,,지상,서울특별시 성동구 서울숲2길 16-12,114.45,2,1,0,1
11740-1000000000000001506387,,지상,서울특별시 강동구 성내로 17,245.08,7,2,1,30
11230-35221,,지상,서울특별시 동대문구 장한로 124,220.44,4,1,0,5
11140-6922,,지상,서울특별시 중구 창경궁로 28-28,410.87,4,1,0,0
11710-13772,,지상,서울특별시 송파구 오금로11길 22,0.0,5,1,0,7
11710-11426,,지상,서울특별시 송파구 거마로 47,0.0,5,1,0,5
11710-23870,,지상,서울특별시 송파구 동남로4길 31,0.0,3,1,0,2
11710-22645,,지상,서울특별시 송파구 백제고분로41길 6-7,198.2,5,1,1,5
11320-6165,,지상,서울특별시 도봉구 도당로13길 19,0.0,4,1,0,0
11215-1000000000000001488056,,지상,서울특별시 광진구 천호대로 522,158.41,5,0,2,9
11710-4835,,지상,서울특별시 송파구 올림픽로32길 58-7,170.75,3,1,0,5
11320-13222,,지상,서울특별시 도봉구 덕릉로 239,193.56,4,1,0,12
11170-25570,,지상,서울특별시 용산구 원효로83길 5-8,62.71,2,1,0,0
11560-30676,,지상,서울특별시 영등포구 대림로 152,213.93,4,1,0,9
11680-22488,,지상,서울특별시 강남구 논현로38길 46-3,183.53,4,1,0,1
11620-1000000000000001629809,,지상,서울특별시 관악구 신림동5길 4-10,390.16,8,1,1,0
11215-18080,,지상,서울특별시 광진구 자양로13길 80,146.65,3,1,0,1
11620-7516,,지상,서울특별시 관악구 남부순환로 1784,86.75,3,1,0,0
11620-5380,,지상,서울특별시 관악구 신림로 148,0.0,3,1,0,0
11620-14463,,지상,서울특별시 관악구 난곡로26길 34,213.83,4,1,0,4
11620-20364,,지상,서울특별시 관악구 남부순환로 1594-1,152.17,3,1,0,0
11620-22055,,지상,서울특별시 관악구 관악로 165,464.49,10,3,1,16
11650-12367,,지상,서울특별시 서초구 서래로5길 34,94.69,2,1,0,1
11560-100264588,,지상,서울특별시 영등포구 도림로 144,359.92,7,4,3,99
11650-1000000000000001475292,,지상,서울특별시 서초구 방배중앙로 181,198.83,4,2,1,14
11290-100200497,11290-100200393,지상,서울특별시 성북구 길음로13길 22,0.0,0,3,3,0
11530-9503,,지상,서울특별시 구로구 중앙로 77,106.62,2,1,0,3
11620-31634,,지상,서울특별시 관악구 신림로 311,222.55,4,1,1,0
11590-100260373,,지상,서울특별시 동작구 상도로 360,241.21,5,1,1,5
11440-4569,,지상,서울특별시 마포구 신촌로 230,0.0,5,1,0,0
11440-11994,,지상,서울특별시 마포구 토정로31길 57-14,0.0,1,0,0,0
11305-12336,,지상,서울특별시 강북구 삼양로 168,0.0,3,1,0,0
11305-24788,11305-285,지상,서울특별시 강북구 인수봉로 135,89.64,3,0,0,2
11305-29964,,지상,서울특별시 강북구 삼양로141길 4,0.0,2,1,0,0
11620-100195239,,지상,서울특별시 관악구 신림로64길 39,478.85,9,0,1,7
11440-27765,,지상,서울특별시 마포구 성미산로31길 11,0.0,1,1,0,0
11440-100266843,,지상,서울특별시 마포구 월드컵북로48길 29-5,249.54,8,2,1,32
11590-22183,,지상,서울특별시 동작구 동작대로17길 6-5,295.49,6,0,0,3
11500-14540,,지상,서울특별시 강서구 강서로10길 5,51.4,1,1,0,0
11440-1000000000000001623119,,지상,서울특별시 마포구 토정로4길 14,140.65,3,0,0,0
11500-7707,,지상,서울특별시 강서구 곰달래로 154,176.17,4,1,0,4
11380-100251598,11380-100251437,지상,서울특별시 은평구 연서로46길 7,0.0,1,0,0,0
11590-30771,,지상,서울특별시 동작구 대림로 40-1,153.6,3,1,0,2
11560-13732,11560-498,지상,문래동2가 30-1,0.0,1,0,0,0
11500-23095,,지상,서울특별시 강서구 까치산로4길 10,0.0,2,0,0,0
11500-23294,,지상,서울특별시 강서구 까치산로4길 21,257.18,5,1,0,8
11500-23759,,지상,서울특별시 강서구 강서로45라길 55,276.51,5,0,0,5
11500-27094,,지상,서울특별시 강서구 강서로 26,141.62,3,1,0,3
11590-19782,,지상,서울특별시 동작구 동작대로23길 15,258.21,5,1,0,5
11170-12549,,지상,서울특별시 용산구 보광로 128,258.09,6,1,0,4
11680-11992,,지상,서울특별시 강남구 도산대로81길 19,279.36,7,1,1,7
11680-12115,,지상,서울특별시 강남구 도산대로75길 28,215.29,6,1,1,6
11680-13614,,지상,서울특별시 강남구 봉은사로68길 11,276.8,5,1,0,8
11680-11474,,지상,서울특별시 강남구 논현로71길 21,0.0,5,1,1,0
11710-14642,,지상,잠실동 27-10,0.0,2,0,0,0
11110-28061,,지상,서울특별시 종로구 종로14길 30,288.6943,4,0,0,0
11230-26720,,지상,서울특별시 동대문구 한천로4길 13-2,0.0,3,1,0,0
11290-100273131,,지상,서울특별시 성북구 보문로29길 119,198.84,5,1,1,8
11290-1815,,지상,서울특별시 성북구 선잠로2라길 33,0.0,2,1,0,0
11440-28940,,지상,서울특별시 마포구 성미산로15길 68,0.0,2,1,0,0
11380-26977,,지상,서울특별시 은평구 응암로9길 6-13,0.0,5,1,0,0
11380-21553,,지상,서울특별시 은평구 연서로 194,214.22,5,0,1,2
11380-20400,,지상,서울특별시 은평구 역말로 110,95.58,2,1,0,0
11440-1000000000000000880747,,지상,서울특별시 마포구 성암로15길 20,245.23,6,1,1,7
11440-1000000000000001431129,,지상,서울특별시 마포구 성미산로 173,196.14,5,1,1,5
11440-1000000000000001642574,,지상,서울특별시 마포구 양화로8길 26,194.33,4,1,1,4
11200-23335,,지상,서울특별시 성동구 송정길 50,170.74,3,1,0,1
11680-100198896,,지상,서울특별시 강남구 언주로106길 21,143.37,4,1,1,14
11440-23643,,지상,서울특별시 마포구 독막로 5,152.33,4,2,1,33
11440-23611,,지상,서울특별시 마포구 독막로5길 5,239.3,5,1,0,5
11440-22959,,지상,서울특별시 마포구 독막로 14,190.75,4,1,0,0
11440-16986,,지상,서울특별시 마포구 와우산로 148,289.7392,7,4,1,9
11440-11924,,지상,서울특별시 마포구 독막로 261,0.0,4,1,0,0
11320-12632,,지상,서울특별시 도봉구 도봉로134길 5,210.44,5,1,0,0
11350-6218,,지상,서울특별시 노원구 동일로 1027,226.79,5,1,1,5
11290-43319,,지상,서울특별시 성북구 화랑로 242,220.57,5,1,1,32
11620-100192295,,지상,서울특별시 관악구 난곡로 303,224.98,5,0,1,4
11215-7480,,지상,서울특별시 광진구 동일로 334,133.18,3,1,0,4
11680-1000000000000001410547,,지상,서울특별시 강남구 선릉로158길 13-14,199.11,5,3,1,10
11305-15497,,지상,서울특별시 강북구 도봉로 350,413.82,8,2,1,14
11620-12933,,지상,서울특별시 관악구 남부순환로 1633,456.56,8,1,1,2
11305-7074,,지상,서울특별시 강북구 솔샘로 335,0.0,3,1,0,0
11680-12686,,지상,서울특별시 강남구 선릉로162길 12,223.43,5,1,1,6
11305-1988,,지상,서울특별시 강북구 도봉로10길 32,0.0,4,1,0,0
11650-1000000000000001553680,,지상,서울특별시 서초구 서초대로50길 30,249.16,7,3,2,30
11410-14751,,지상,서울특별시 서대문구 연희로 227,166.13,4,3,0,12
11410-12740,,지상,서울특별시 서대문구 신촌로 73,415.71,8,3,3,39
11290-24799,,지상,서울특별시 성북구 삼양로13길 51,75.08,2,1,0,4
11170-12113,,지상,서울특별시 용산구 이촌로 248,0.0,2,1,0,0
11410-12353,,지상,서울특별시 서대문구 연세로12길 20,297.42,5,2,0,6
11560-17965,11560-181,지상,서울특별시 영등포구 양평로30가길 19,0.0,3,1,0,0
11680-6908,,지상,서울특별시 강남구 테헤란로 121,774.42,15,3,2,72
11680-18323,,지상,서울특별시 강남구 강남대로156길 8,0.0,3,1,0,0
11680-24352,,지상,서울특별시 강남구 논현로 429,211.26,4,0,1,6
11290-24795,,지상,서울특별시 성북구 동소문로 258,60.64,3,1,0,0
11230-21414,,지상,서울특별시 동대문구 휘경로 8,0.0,4,1,0,2
11440-100245358,,지상,서울특별시 마포구 동교로38안길 13,196.54,4,0,0,0
11290-100221332,,지상,서울특별시 성북구 정릉로 448-11,224.49,6,0,1,5
11320-6801,,지상,서울특별시 도봉구 도봉로 727-1,236.98,6,1,1,16
11320-4998,,지상,서울특별시 도봉구 도봉로 575,335.26,7,4,3,163
11710-100528762,,지상,서울특별시 송파구 새말로8길 23,198.9,5,1,1,12
11290-100242965,,지상,서울특별시 성북구 보국문로18가길 16,199.88,4,1,1,3
11650-15530,,지상,서울특별시 서초구 효령로 221,186.51,5,1,1,8
11680-1000000000000001639923,,지상,서울특별시 강남구 선릉로125길 5-6,199.8092,5,1,1,5
11680-10517,,지상,서울특별시 강남구 논현로164길 19,99.92,2,1,0,2
11680-100185409,,지상,서울특별시 강남구 테헤란로25길 26,172.14,4,1,1,4
11740-14210,,지상,서울특별시 강동구 구천면로 376,286.39,6,1,1,7
11680-6502,,지상,서울특별시 강남구 선릉로119길 5,199.9826,5,1,1,5
11680-1000000000000001263657,,지상,서울특별시 강남구 선릉로135길 17-4,199.87,5,1,1,4
11650-13445,,지상,서울특별시 서초구 서초중앙로 230,237.5328,5,2,1,0
11680-100196107,,지상,서울특별시 강남구 역삼로 413,249.79,7,2,1,25
11680-100202588,,지상,서울특별시 강남구 도곡로17길 23,199.78,4,1,0,6
11410-10832,,지상,서울특별시 서대문구 신촌로 185,0.0,2,0,0,0
11680-100263410,,지상,서울특별시 강남구 역삼로 460-2,249.14,7,1,1,7
11680-100295824,,지상,서울특별시 강남구 선릉로135길 14-4,176.42,4,2,1,6
11680-11090,,지상,서울특별시 강남구 테헤란로 109,496.81,10,2,0,27
11650-8555,,지상,서울특별시 서초구 강남대로23길 64,238.95,5,1,0,5
11650-7928,,지상,서울특별시 서초구 강남대로34길 68,221.27,5,1,0,4
11650-2929,,지상,서울특별시 서초구 동광로10길 27-7,219.8415,5,1,0,0
11680-4765,,지상,서울특별시 강남구 남부순환로378길 34,236.11,5,1,0,4
11545-6313,,지상,서울특별시 금천구 시흥대로 47-9,21.6,2,0,0,8
11680-12683,,지상,서울특별시 강남구 강남대로 416,297.63,6,2,1,27
11380-31567,,지상,서울특별시 은평구 진흥로1길 20-15,0.0,1,1,0,0
11380-8394,,지상,불광동 310-248,0.0,2,0,0,0
11380-38135,,지상,서울특별시 은평구 증산서길 64-8,169.19,4,1,0,5
11140-1000000000000001446091,,지상,서울특별시 중구 난계로17길 54,288.59,5,0,1,1
11290-100214312,,지상,서울특별시 성북구 정릉로52길 23,245.11,5,1,1,4
11215-9285,,지상,서울특별시 광진구 천호대로 576,192.16,4,1,1,6
11260-24689,,지상,서울특별시 중랑구 공릉로 50,0.0,1,0,0,0
11290-38296,,지상,장위동 237-214,0.0,3,1,0,2
11260-16720,,지상,서울특별시 중랑구 상봉중앙로 42,187.38,4,1,0,4
11650-12642,,지상,서울특별시 서초구 주흥16길 25,212.78,5,1,0,4
11380-23776,,지상,서울특별시 은평구 은평로8길 18,0.0,5,1,0,0
11230-100208324,,지상,서울특별시 동대문구 약령시로14길 43,55.88,1,0,0,0
11170-9719,,지상,서울특별시 용산구 한강대로53길 2-7,0.0,1,1,0,0
11350-12111,,지상,서울특별시 노원구 동일로241가길 17,0.0,4,1,0,2
11350-11852,,지상,서울특별시 노원구 한글비석로 250,467.81,8,3,2,67
11350-4322,11350-307,지상,서울특별시 노원구 동일로231길 17,0.0,1,0,0,0
11380-8346,,지상,서울특별시 은평구 연서로 247,0.0,2,0,0,0
11380-3849,,지상,서울특별시 은평구 서오릉로 38,0.0,2,1,0,0
11440-1000000000000001609264,11440-100189233,지상,서울특별시 마포구 모래내로 87,0.0,1,0,0,0
11320-1000000000000001610711,,지상,서울특별시 도봉구 덕릉로60자길 17,102.8,2,0,0,1
11440-22944,,지상,서울특별시 마포구 독막로6길 8,204.21,4,1,0,4
11440-22814,,지상,서울특별시 마포구 어울마당로 19,0.0,5,1,0,0
11380-31976,,지상,서울특별시 은평구 역말로 6,127.09,3,1,0,5
11590-7618,,지상,서울특별시 동작구 상도로 317,143.63,3,1,0,0
11590-6094,,지상,서울특별시 동작구 만양로14가길 26,144.17,4,1,0,5
11170-19254,,지상,서울특별시 용산구 두텁바위로13길 11,0.0,2,0,0,0
11380-14177,,지상,서울특별시 은평구 서오릉로17길 18,235.22,5,1,0,2
11590-100259593,,지상,서울특별시 동작구 여의대방로36길 25,246.2,5,0,1,4
11170-17908,,지상,서울특별시 용산구 원효로89길 13-14,0.0,1,0,0,0
