관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적
11710-100221538,11710-100221506,지상,서울특별시 송파구 올림픽로 435,104동,901,지상,20.0,1,37.76
11710-100221539,11710-100221506,지상,서울특별시 송파구 올림픽로 435,104동,902,지상,20.0,1,39.43
11710-100221565,11710-100221506,지상,서울특별시 송파구 올림픽로 435,104동,1504,지상,10.0,1,40.64
11710-100215331,11710-100215314,지상,서울특별시 송파구 올림픽로 99,159동,601,지상,40.0,0,15.92
11710-100215323,11710-100215314,지상,서울특별시 송파구 올림픽로 99,159동,401,지상,20.0,1,43.81
11710-100221611,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,504,지상,10.0,1,25.17
11710-100221610,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,503,지상,10.0,1,25.17
11710-100221609,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,502,지상,10.0,1,25.45
11710-100221614,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,603,지상,10.0,1,195.74
11710-100221613,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,602,지상,10.0,1,25.17
11710-100221612,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,601,지상,10.0,1,25.17
11710-100221559,11710-100221506,지상,서울특별시 송파구 올림픽로 435,104동,1402,지상,20.0,4,126.72
11710-100221555,11710-100221506,지상,서울특별시 송파구 올림픽로 435,104동,1302,지상,20.0,3,137.02
11710-100221694,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,2603,지상,20.0,1,24.59
11710-100221693,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,2602,지상,20.0,1,23.86
11710-100221691,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,2504,지상,20.0,1,21.63
11710-100221690,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,2503,지상,20.0,1,26.79
11710-100221689,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,2502,지상,20.0,1,24.69
11710-100221688,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,2501,지상,20.0,1,23.64
11710-100221608,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,501,지상,10.0,1,24.44
11710-100221607,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,404,지상,10.0,1,26.13
11710-100221596,11710-100221506,지상,서울특별시 송파구 올림픽로 435,104동,2303,지상,20.0,3,85.79
11710-100221540,11710-100221506,지상,서울특별시 송파구 올림픽로 435,104동,903,지상,20.0,1,42.79
11560-1000000000000000087670,11560-1000000000000000086659,지상,서울특별시 영등포구 버드나루로 59,,1502,지상,40.0,0,25.818
11560-1000000000000000087666,11560-1000000000000000086659,지상,서울특별시 영등포구 버드나루로 59,,1506,지상,10.0,1,1.215
11710-100221703,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,2804,지상,20.0,3,88.09
11710-100221606,11710-100221605,지상,서울특별시 송파구 올림픽로 435,113동,403,지상,10.0,1,35.06
11710-100221595,11710-100221506,지상,서울특별시 송파구 올림픽로 435,104동,2302,지상,20.0,3,79.34
