건축물대장 관리번호,용적율,지상층수,지하층수,승강기 수,주차 대수
11350-6021,0.0,2,1,0,0
11350-6023,148.69,3,0,0,3
11350-7456,169.47,4,1,0,5
11350-7458,35.77,2,0,0,7
11350-7477,97.65,2,1,0,1
11350-7584,0.0,3,1,0,0
11350-7447,0.0,2,1,0,0
11350-7588,0.0,5,1,0,0
11350-7450,0.0,3,1,0,0
11350-7454,0.0,2,1,0,0
11380-4324,0.0,1,0,0,0
11380-4326,0.0,1,1,0,0
11680-8475,206.71,5,1,0,4
11680-8484,149.9,3,1,0,4
11560-17128,0.0,6,1,1,0
11350-8437,221.54,4,1,0,0
11350-6653,220.18,4,1,0,4
11350-6656,253.32,5,1,0,2
11350-8535,164.48,4,1,0,5
11260-11053,0.0,3,1,0,0
11560-4995,0.0,1,0,0,0
11350-7432,177.33,5,0,0,3
11500-14912,236.15,5,1,0,8
11350-7433,249.43,5,1,0,5
11350-7435,0.0,2,0,0,0
11215-13501,184.98,3,1,0,0
11500-15040,165.95,3,1,0,2
11620-20551,0.0,7,3,0,0
11260-2375,151.65,3,1,0,0
11500-19448,127.56,3,1,0,0
11350-7550,0.0,2,1,0,0
11350-8852,84.73,2,0,0,0
11350-8857,196.26,4,0,0,3
11350-8859,0.0,1,1,0,0
11230-21023,135.12,3,1,0,1
11260-1074,0.0,3,1,0,0
11260-11426,182.72,4,1,1,7
11380-8301,0.0,1,0,0,0
11380-4678,0.0,3,1,0,0
11380-8380,0.0,2,0,0,0
11380-8385,0.0,2,0,0,0
11440-100270783,198.21,4,0,1,2
11230-33372,71.13,1,0,0,0
11230-34136,131.5,3,1,0,4
11215-19943,226.85,6,1,1,8
11380-3385,0.0,2,1,0,0
11110-8322,0.0,1,0,0,0
11350-8544,0.0,2,1,0,0
11350-6834,0.0,2,1,0,0
11350-6835,199.13,5,1,0,0
11350-6837,34.97,1,0,0,2
11350-7561,59.14,1,1,0,0
11350-7551,176.17,3,0,0,1
11740-100298322,239.48,5,1,1,6
11620-34596,278.26,5,1,0,11
11260-11436,0.0,4,1,0,0
11260-10952,141.32,3,1,0,0
11380-3393,126.86,2,1,0,0
11305-6223,237.97,4,1,0,4
11305-6494,75.38,2,1,0,0
11380-3405,0.0,4,1,0,0
11380-3410,0.0,2,1,0,0
11620-1962,0.0,1,0,0,0
11305-6498,0.0,3,1,0,0
11350-9740,217.52,5,1,0,5
11260-12443,177.72,4,1,0,0
11350-6924,0.0,2,1,0,0
11350-6928,0.0,3,1,0,0
11350-6943,0.0,4,1,0,0
11350-8187,103.32,2,0,0,0
11350-8193,176.58,4,1,0,0
11350-9841,0.0,4,1,0,5
11350-7343,57.57,2,1,0,0
11380-8434,0.0,2,0,0,0
11380-8449,230.91,5,1,0,3
11260-100234337,381.31,10,1,1,5
11110-100218065,414.9373,8,1,1,1
11140-13618,0.0,1,0,0,0
11440-27904,0.0,4,1,0,0
11620-21122,218.23,5,0,0,3
11110-17212,0.0,3,0,0,0
11530-23405,150.55,3,1,0,0
11380-6409,79.17,3,1,0,7
11380-3902,0.0,2,1,0,0
11380-20737,0.0,2,0,0,0
11380-6778,116.5,2,1,0,0
11380-20738,0.0,2,0,0,0
11260-13261,198.6,4,1,0,2
11380-20740,0.0,2,0,0,0
11380-20741,0.0,2,0,0,0
11380-20742,0.0,2,0,0,0
11380-20744,0.0,2,0,0,0
11380-20747,0.0,2,0,0,0
11380-20760,0.0,2,0,0,0
11290-12472,232.34,4,1,0,3
11650-100284335,97.39,2,1,1,18
11215-7249,271.93,7,0,1,4
11380-19155,0.0,2,1,0,0
11380-19156,0.0,2,1,0,0
11215-7475,268.92,6,0,1,6
11215-7684,240.3,6,1,0,11
11140-8726,26.6277,2,1,0,0
11620-33576,0.0,5,1,0,4
11140-8727,0.0,2,1,0,0
11215-7866,309.5,7,0,1,6
11650-9158,232.58,5,1,0,5
11650-4586,23.46,1,0,0,0
11380-5917,0.0,3,1,0,0
11380-6825,151.03,3,1,0,2
11680-9224,206.77,5,1,0,4
11380-4343,0.0,4,1,0,0
11650-12249,133.84,3,1,0,7
11380-6864,43.27,2,0,0,1
11440-20270,140.04,3,0,0,0
11380-6906,0.0,4,1,0,0
11380-6856,149.79,3,1,0,3
11380-4366,350.32,6,1,0,6
11380-16168,204.78,4,1,0,4
11380-17594,0.0,2,1,0,0
11380-16188,0.0,3,1,0,0
11110-7951,0.0,1,0,0,0
11140-10016,342.85,4,1,0,0
11215-26432,259.03,6,1,1,8
11215-26613,338.44,6,2,1,12
11530-6822,149.91,3,1,0,0
11380-8536,0.0,1,0,0,0
11380-860,0.0,1,0,0,0
11380-8499,113.17,2,1,0,0
11380-4386,0.0,4,1,0,0
11290-42043,0.0,1,0,0,0
11380-7171,92.35,2,1,0,0
11380-7228,54.02,2,0,0,0
11380-4757,0.0,4,1,0,0
11680-3528,77.5,2,1,0,3
11290-6177,77.1,1,0,0,0
11380-4785,59.88,1,0,0,0
11140-3303,0.0,2,0,0,0
11680-10053,213.33,5,1,0,4
11290-42153,0.0,3,1,0,0
11170-3979,43.34,1,0,0,0
11140-6024,0.0,2,0,0,0
11260-100182974,81.78,2,0,0,2
11260-10144,0.0,1,1,0,0
11260-10148,0.0,1,0,0,0
11260-100200754,52.82,2,0,0,3
11110-100213665,322.46,5,0,1,1
11230-31925,0.0,1,0,0,0
11380-21120,190.4,4,1,0,2
11380-14449,177.75,3,0,0,0
11680-9521,180.21,4,1,0,3
11740-100297903,152.49,3,0,1,2
11260-10041,0.0,2,1,0,0
11320-15772,0.0,4,1,0,0
11680-9502,216.99,5,1,0,4
11380-4927,0.0,4,1,0,0
11380-2227,0.0,2,0,0,0
11650-9152,300.78,6,1,1,5
11410-12481,181.57,4,1,0,2
11380-20780,168.16,3,1,0,0
11380-7583,119.95,2,0,0,2
11305-12388,0.0,1,0,0,0
11290-28316,0.0,3,1,0,0
11230-27552,232.49,5,1,0,6
11230-27743,53.03,1,0,0,3
11260-1467,195.29,4,1,0,4
11380-3813,183.99,4,1,0,2
11710-9588,0.0,3,1,0,3
11380-20787,0.0,4,1,0,0
11560-5882,0.0,3,1,0,0
11350-14214,0.0,2,1,0,0
11530-100217272,116.6,2,0,0,0
11260-10205,157.38,3,1,0,0
11260-12844,228.49,5,1,0,5
11380-17610,242.39,5,1,0,8
11380-17648,0.0,4,1,0,0
11380-17611,0.0,3,0,0,0
11380-17613,0.0,4,1,0,0
11380-6043,0.0,1,1,0,0
11260-12012,199.66,4,1,0,0
11260-11983,0.0,3,0,0,0
11380-6059,215.54,5,1,0,5
11260-11984,207.41,4,1,0,4
11215-6619,195.38,4,1,0,3
11260-12013,224.6,4,1,0,5
11260-11987,0.0,3,1,0,0
11380-18489,204.17,4,1,0,3
11110-25972,0.0,2,0,0,0
11110-28128,0.0,3,1,0,0
11140-1000000000000001414166,671.97,13,2,1,1
11110-4508,245.7,5,1,0,5
11110-6633,68.88,2,1,0,0
11380-27167,0.0,2,1,0,0
11380-8347,0.0,2,0,0,0
11620-21510,145.46,3,1,0,0
11380-8348,0.0,2,0,0,0
11215-27233,312.7,7,1,1,5
11260-10933,149.6,3,1,0,0
11260-11044,155.36,3,1,0,0
11380-8350,0.0,2,0,0,0
11380-8351,0.0,2,0,0,0
11380-17650,0.0,1,0,0,0
11380-17651,0.0,1,0,0,0
11260-12856,85.79,2,1,0,0
11260-12857,244.65,5,1,0,0
11110-21442,194.66,2,0,0,0
11110-26545,0.0,4,1,0,0
11380-7796,0.0,1,0,0,0
11380-7808,0.0,3,1,0,0
11380-17779,0.0,1,0,0,0
11440-16828,0.0,4,1,0,0
11260-12866,0.0,4,1,0,0
11260-12381,155.77,3,1,0,0
11110-9660,0.0,5,1,0,0
11260-100224034,0.0,1,0,0,0
11260-100224035,0.0,1,0,0,0
11260-100224552,99.93,2,0,0,2
11380-2306,0.0,1,0,0,0
11215-8602,44.54,5,3,2,26
11215-17082,193.53,4,1,0,2
11260-100183436,77.52,4,0,0,11
11260-12875,175.28,4,1,0,0
11110-19346,0.0,1,0,0,0
11380-17911,151.32,3,1,0,2
11380-17922,225.4,4,1,0,0
11200-20584,0.0,4,1,0,8
11260-12396,191.24,4,1,0,2
11260-100195596,0.0,1,0,0,0
11260-100195817,0.0,2,1,0,0
11260-100229889,76.51,2,0,0,0
11260-100230269,0.0,1,0,0,0
11710-1575,138.56,3,1,0,0
11260-100230937,59.41,1,0,0,0
11260-100231177,36.32,1,0,0,1
11200-24374,0.0,5,1,0,0
11230-11173,125.56,3,1,0,0
11260-1070,148.82,3,1,0,0
11500-25676,0.0,2,0,0,0
11380-18033,0.0,4,1,0,0
11380-18034,0.0,2,1,0,0
11260-11651,198.79,4,1,0,0
11680-22865,298.45,6,1,0,7
11260-11356,136.57,3,1,0,0
11260-100198399,58.88,1,0,0,0
11260-100198891,0.0,0,1,0,0
11380-19444,0.0,1,0,0,0
11110-17717,192.71,4,2,0,6
11260-24739,128.08,2,1,0,0
11260-25785,190.33,4,1,0,0
11380-1630,162.6,4,1,0,7
11260-25839,148.41,4,1,1,21
11260-11859,97.82,2,1,0,0
11380-1644,202.84,4,1,0,0
11380-16249,188.91,4,1,0,0
11620-29787,357.11,6,1,0,4
11215-3147,183.67,4,0,0,3
11380-19450,242.5,5,1,0,5
11215-3200,198.67,5,1,1,9
11380-20828,131.25,3,1,0,0
11380-20829,243.21,3,0,0,0
11380-20849,0.0,3,0,0,0
11380-20863,206.72,4,1,0,5
11380-20815,0.0,1,0,0,0
11380-3534,0.0,2,0,0,0
11380-2247,0.0,2,0,0,0
11230-2145,0.0,1,0,0,0
11380-16483,0.0,2,1,0,0
11380-16484,0.0,1,0,0,0
11680-8588,287.7835,6,1,1,8
11380-16477,0.0,1,0,0,0
11380-16482,104.92,2,0,0,0
11380-19476,101.21,2,0,0,0
11380-19484,0.0,1,0,0,0
11380-19486,0.0,1,0,0,0
11380-19531,0.0,4,1,0,0
11110-7868,284.61,5,1,1,0
11380-19571,0.0,2,1,0,0
11140-1000000000000001524620,118.63,2,0,0,0
11140-16517,224.99,5,1,0,5
11260-10937,149.07,3,1,0,0
11260-10939,219.63,5,1,0,4
11380-20866,147.89,3,1,0,2
11260-1094,182.55,4,1,0,1
11260-10941,0.0,5,1,0,0
11380-20870,0.0,2,0,0,0
11380-20901,0.0,2,0,0,0
11260-10015,0.0,2,0,0,0
11260-10016,0.0,3,0,0,0
11380-20907,0.0,4,1,0,0
11380-20928,0.0,2,1,0,0
11110-17160,0.0,4,1,0,0
11260-1384,153.85,4,1,0,4
11260-12591,227.45,4,1,0,0
11380-7576,0.0,3,1,0,0
11230-8686,167.28,3,0,0,3
11380-5218,0.0,4,1,0,0
11380-7554,267.55,3,1,0,0
11380-7567,0.0,3,1,0,0
11380-5227,0.0,5,1,0,0
11380-5228,0.0,1,0,0,0
11380-5229,0.0,5,1,0,0
11380-5235,0.0,1,0,0,0
11215-3333,248.85,6,0,1,7
11215-3338,0.0,6,1,0,6
11215-3753,236.95,6,1,1,6
11215-3935,197.41,4,0,0,3
11260-11996,0.0,5,1,0,7
11215-4160,276.77,6,1,1,7
11230-100183307,497.64,10,2,1,29
11230-100183246,147.67,4,1,0,3
11215-4228,314.57,6,1,0,2
11380-32724,89.2,2,1,0,0
11380-8202,0.0,1,0,0,0
11380-5242,0.0,4,1,0,0
11215-25305,258.68,6,0,1,5
11380-7789,0.0,1,0,0,0
11380-7794,0.0,3,1,0,0
11650-14236,326.17,7,1,0,1
11260-100233638,49.8,1,0,0,1
11215-4532,221.78,6,1,1,6
11215-4541,265.56,6,1,1,8
11380-2285,0.0,1,0,0,0
11380-2290,0.0,1,0,0,0
11380-2291,0.0,1,0,0,0
11260-11652,193.94,4,1,0,0
11110-16184,0.0,1,0,0,0
11110-16075,184.8,4,1,0,0
11380-8216,0.0,1,0,0,0
11380-8219,158.48,3,1,0,0
11380-8222,0.0,1,0,0,0
11110-24141,0.0,1,0,0,0
11380-7234,0.0,1,0,0,0
11110-25901,280.5,5,2,1,24
11380-8353,0.0,2,0,0,0
11260-10436,149.72,3,1,0,0
11260-1044,79.77,3,1,0,10
11620-100200084,331.89,6,1,1,0
11260-13641,199.36,4,1,0,0
11440-19491,154.15,3,1,0,4
11380-2296,0.0,1,0,0,0
11110-17274,0.0,1,0,0,0
11560-14292,0.0,1,0,0,0
11710-22441,246.96,5,1,0,6
11560-20804,178.52,4,1,0,0
11260-1320,192.06,4,1,0,0
11380-8368,0.0,2,0,0,0
11380-8369,0.0,2,0,0,0
11380-8371,0.0,2,0,0,0
11380-8372,0.0,2,0,0,0
11380-8373,0.0,2,0,0,0
11380-8374,0.0,2,0,0,0
11380-7524,0.0,2,0,0,0
11380-7526,0.0,1,0,0,0
11740-15556,284.66,5,0,1,8
11260-25621,146.47,3,1,0,0
11215-25308,259.94,6,1,1,8
11215-4626,204.13,5,1,1,24
11710-6963,226.91,5,1,0,7
11380-16978,0.0,2,1,0,0
11380-17029,237.34,5,1,0,9
11260-10796,113.19,2,0,0,2
11215-9536,291.58,6,1,0,12
11260-1080,147.54,3,1,0,0
11380-19739,101.88,2,0,0,0
11380-19707,133.98,3,1,0,4
11380-19758,0.0,2,1,0,0
11110-29596,263.12,6,1,1,2
11380-19773,0.0,1,0,0,0
11380-19780,0.0,1,0,0,0
11380-19900,0.0,2,1,0,0
11260-100213207,0.0,2,0,0,0
11260-100184577,59.7,1,0,0,1
11260-100184837,1.67,1,1,0,0
11710-9171,220.15,5,1,0,5
11110-18682,0.0,3,1,0,0
11380-20719,0.0,2,0,0,0
11170-16577,0.0,1,0,0,0
11110-11001,288.21,4,0,0,0
11380-20734,0.0,2,0,0,0
11380-20723,0.0,2,0,0,0
11380-20735,0.0,2,0,0,0
11260-12008,108.36,2,1,0,0
11440-19683,0.0,2,1,0,0
11290-12496,199.65,5,0,0,1
11290-12492,181.42,4,1,0,4
11290-18221,220.6,5,1,0,6
11260-15078,0.0,2,1,0,0
11305-100242924,99.68,3,0,0,0
11140-18889,294.74,6,2,0,15
11620-12296,0.0,3,1,0,0
11260-15255,212.51,5,1,0,0
11590-1327,0.0,3,1,0,0
11680-100279403,88.51,2,2,1,7
11260-1267,146.15,3,1,0,0
11620-5768,224.56,4,1,0,4
11620-7398,0.0,5,1,0,0
11620-12996,285.15,5,1,0,7
11260-1269,186.47,4,1,0,3
11380-4948,93.58,1,0,0,0
11560-2300,141.2,2,0,0,0
11380-4979,0.0,5,1,0,0
11590-9115,0.0,4,1,0,0
11260-12233,99.79,2,1,0,0
11230-100187026,149.26,4,1,1,3
11260-13082,0.0,3,1,0,0
11260-13087,0.0,2,0,0,0
11230-100187074,212.81,5,1,0,2
11260-13094,269.9,6,1,0,2
11260-16076,214.39,5,1,0,4
11380-5085,0.0,3,1,0,0
11380-6526,0.0,2,0,0,0
11680-100277723,242.78,6,1,1,8
11140-100204093,168.08,4,0,0,1
11560-33016,0.0,4,1,0,0
11380-7813,0.0,1,0,0,0
11380-5083,0.0,3,1,0,0
11380-20938,99.1,2,1,0,0
11380-21017,0.0,1,1,0,0
11380-21019,187.28,4,1,0,3
11530-14804,0.0,1,0,0,0
11230-100183710,147.35,4,1,0,3
11230-100183730,189.71,4,1,0,5
11260-11939,148.8,3,1,0,0
11260-1194,4.44,1,0,0,0
11230-100183731,198.12,4,1,0,5
11380-6161,147.26,3,1,0,2
11230-100186225,249.37,6,0,1,5
11380-8180,211.33,5,1,0,0
11230-100186246,186.31,4,1,0,3
11380-7830,0.0,2,0,0,0
11380-8140,0.0,1,0,0,0
11260-12529,195.19,4,1,0,0
11110-27323,0.0,4,1,0,0
11215-21081,0.0,5,1,0,5
11140-100192084,198.05,4,1,1,7
11215-21057,159.47,3,1,0,0
11140-100192408,199.88,4,1,1,15
11260-11980,0.0,1,0,0,0
11380-6421,0.0,2,1,0,0
11110-5462,201.0,3,0,0,0
11380-6434,0.0,4,1,0,0
11380-9800,0.0,2,1,0,0
11380-6453,0.0,3,1,0,0
11380-6468,0.0,2,1,0,0
11380-9813,0.0,3,1,0,0
11380-6470,0.0,4,1,0,0
11110-5593,0.0,3,1,1,13
11230-100186405,191.42,5,1,1,5
11380-4511,0.0,2,0,0,0
11230-100186445,195.44,5,1,1,4
11380-3732,0.0,1,0,0,0
11260-12099,0.0,5,1,0,0
11260-12103,188.22,4,1,0,0
11260-11976,185.22,4,1,0,0
11110-27439,116.71,3,1,0,2
11260-11955,270.21,5,1,0,4
11380-17682,0.0,3,1,0,0
11380-6502,0.0,4,1,0,0
11380-6503,0.0,4,1,0,2
11380-4088,199.98,5,1,0,0
11290-31113,141.92,3,1,0,0
11260-12123,0.0,1,0,0,0
11260-12110,40.21,1,0,0,0
11260-12117,126.66,2,0,0,0
11260-12122,248.52,6,2,1,9
11110-23396,0.0,2,0,0,0
11260-11535,180.07,4,1,0,0
11230-100187107,199.64,5,0,0,2
11170-22878,0.0,3,1,0,0
11230-100187146,222.9,6,0,1,4
11230-100187188,149.97,4,1,0,3
11110-5865,0.0,1,0,0,0
11380-4109,0.0,1,0,0,0
11380-4125,0.0,2,1,0,0
11380-4194,0.0,3,1,0,0
11140-22038,224.26,4,1,0,0
11500-27142,93.34,2,1,0,2
11620-10613,0.0,5,1,0,2
11260-14760,223.17,5,1,0,3
11380-7268,0.0,3,1,0,2
11380-18068,233.77,5,1,0,4
11260-12649,213.85,5,1,0,6
11470-100202426,0.0,4,1,0,0
11380-20461,199.11,4,1,0,2
11380-20495,0.0,1,0,0,0
11260-12652,0.0,4,1,0,0
11380-20501,0.0,1,0,0,0
11230-100245854,323.17,8,0,1,3
11110-6173,0.0,1,1,0,0
11230-100183831,199.26,5,0,0,4
11110-23792,0.0,2,1,0,0
11260-14651,207.87,5,1,0,0
11380-7284,207.97,4,1,0,4
11110-20194,0.0,2,0,0,0
11380-4454,233.19,5,1,0,5
11380-4463,0.0,4,1,0,0
11380-4478,0.0,4,1,0,0
11380-18462,0.0,3,1,0,0
11260-4399,218.07,4,0,0,8
11290-100231613,397.0,9,1,1,20
11560-13825,85.54,1,0,0,0
11230-21228,269.25,6,1,1,10
11260-12169,205.66,5,1,0,3
11380-18087,222.92,4,1,0,4
11290-12848,270.18,6,1,1,8
11380-18140,234.07,5,1,0,5
11380-18152,199.31,4,1,0,5
11380-18165,65.57,2,1,0,0
11110-9354,0.0,1,0,0,0
11380-18080,197.46,4,1,0,4
11380-17744,209.93,4,1,0,4
11380-17754,0.0,4,1,0,0
11110-20494,0.0,1,0,0,0
11500-6783,140.04,3,1,0,2
11260-15013,148.15,3,1,0,0
11380-2674,58.67,2,0,0,0
11110-2445,0.0,5,0,0,0
11380-21133,0.0,4,1,0,0
11230-100186505,199.93,5,1,1,5
11110-24549,0.0,1,0,0,0
11260-22351,177.14,4,1,0,2
11230-100186565,241.92,6,0,1,4
11110-28727,85.93,2,1,0,1
11230-100186625,182.2,4,1,0,4
11110-28796,0.0,2,1,0,0
11230-100187246,84.0,3,0,0,0
11260-15009,0.0,3,1,0,0
11380-18201,166.13,4,1,0,0
11260-15012,0.0,1,1,0,0
11380-18240,0.0,1,0,0,0
11380-21562,0.0,4,1,0,0
11590-100189300,248.75,6,0,1,6
11380-21581,0.0,3,1,0,0
11380-2162,0.0,1,0,0,0
11380-21638,0.0,3,1,0,0
11380-2164,0.0,2,0,0,0
11380-20074,221.82,5,1,0,7
11380-20075,0.0,2,1,0,0
11260-15643,147.12,3,1,0,3
11380-20149,98.05,2,0,0,0
11110-24732,247.7,3,1,0,0
11230-100186786,199.56,5,1,1,6
11230-100186847,198.79,4,1,0,4
11110-18984,0.0,1,0,0,0
11230-100186866,197.3,5,0,1,5
11110-19215,0.0,3,0,0,0
11650-2928,274.56,6,1,0,4
11110-27328,0.0,3,0,0,0
11110-28204,0.0,1,0,0,0
11380-18264,0.0,1,0,0,0
11380-18307,0.0,3,1,0,0
11380-21770,0.0,1,0,0,0
11140-13515,0.0,1,0,0,0
11110-10653,0.0,4,1,0,0
11230-23571,247.56,5,1,1,7
11320-100217974,183.23,4,1,1,6
11320-100218005,149.89,3,1,0,4
11230-100183902,175.18,4,0,0,2
11230-100183903,223.79,6,1,1,4
11380-21647,119.06,2,0,0,0
11380-21650,0.0,1,0,0,0
11350-2130,0.0,3,1,0,0
11260-1307,135.07,3,1,0,0
11260-13073,143.56,3,1,0,0
11110-21063,116.46,2,1,0,0
11260-15540,43.35,1,1,0,0
11230-100185433,199.04,5,1,1,8
11260-14764,0.0,1,0,0,0
11230-100185463,172.93,4,1,0,4
11260-15688,202.4,4,1,0,0
11260-15690,0.0,3,1,0,0
11680-13614,276.8,5,1,0,8
11260-15694,197.6,4,1,0,4
11260-11394,169.33,4,1,0,0
11110-29633,240.22,5,1,0,0
11260-11395,141.38,3,1,0,0
11260-11397,111.41,3,1,0,0
11305-20165,0.0,3,1,0,0
11380-2189,0.0,4,1,0,0
11260-1444,86.18,2,1,0,0
11260-14446,144.69,4,1,0,0
11230-33259,0.0,1,0,0,0
11380-21223,124.31,2,1,0,0
11110-7011,258.44,5,1,0,8
11140-12568,0.0,2,0,0,0
11230-34685,0.0,4,1,0,0
11380-2187,0.0,1,0,0,0
11380-2188,0.0,1,0,0,0
11260-19498,0.0,2,1,0,0
11260-19499,224.22,5,1,0,0
11380-2250,0.0,1,0,0,0
11380-2281,0.0,1,0,0,0
11380-2283,0.0,2,0,0,0
11380-19181,250.28,5,1,0,4
11380-19184,123.06,2,1,0,2
11260-15701,218.03,4,1,0,6
11260-11401,258.94,5,1,0,0
11260-14628,176.3,4,1,0,0
11230-100250414,199.59,5,0,1,4
11260-1485,189.84,4,1,0,3
11110-7496,179.92,4,1,0,2
11260-14885,161.7,3,1,0,0
11260-14890,267.57,4,1,0,0
11380-21243,233.3,5,1,0,3
11230-2146,0.0,1,0,0,0
11110-7669,0.0,2,0,0,0
11260-14461,0.0,3,1,0,0
11380-21292,0.0,2,1,0,0
11380-2131,0.0,3,1,0,0
11230-100187347,199.95,5,1,1,6
11110-7577,0.0,3,1,0,0
11230-100187386,199.86,6,0,1,6
11230-32486,0.0,1,0,0,0
11230-32540,231.64,4,1,0,0
11290-15895,160.85,3,0,0,0
11230-100187406,198.6,4,1,0,2
11380-2284,0.0,2,0,0,0
11380-8267,0.0,2,0,0,0
11290-100224466,0.0,3,0,0,0
11290-100211111,95.26,2,0,0,0
11260-15383,171.63,3,0,0,2
11290-28350,391.5,7,1,1,16
11290-9337,238.25,5,1,0,5
11305-100240964,247.69,5,0,1,3
11380-20290,0.0,3,1,0,0
11380-20338,0.0,1,0,0,0
11380-20348,159.96,3,1,0,0
11110-2536,0.0,1,0,0,0
11260-7704,141.9,3,1,0,0
11290-11199,98.22,2,1,0,1
11560-100256908,109.57,4,0,1,7
11260-11561,193.88,4,1,0,0
11260-12187,0.0,2,1,0,0
11260-12189,0.0,1,0,0,0
11230-100186165,381.89,8,1,1,6
11260-12194,169.09,4,1,0,0
11260-12195,0.0,2,0,0,0
11110-2537,0.0,1,0,0,0
11230-100186206,240.43,6,0,1,5
11560-14897,80.91,1,0,0,0
11560-14247,0.0,1,0,0,0
11200-21679,0.0,2,1,0,0
11260-12054,0.0,1,1,0,0
11260-12055,0.0,2,1,0,0
11290-19263,258.14,5,1,0,8
11260-11550,142.58,3,1,0,0
11260-11553,67.95,1,1,0,0
11290-20168,89.91,3,1,0,11
11260-11557,210.78,4,1,0,0
11110-21479,0.0,1,0,0,0
11230-100184713,191.54,5,0,0,4
11230-100184733,187.16,5,0,0,3
11230-100184833,199.76,4,1,1,5
11260-16241,205.68,4,1,0,2
11230-100184813,198.91,6,0,1,5
11260-16248,144.08,3,0,0,3
11380-5215,142.42,3,0,0,0
11110-25490,272.147,5,1,0,1
11110-25523,0.0,3,0,0,0
11620-30928,0.0,4,1,0,2
11260-11596,149.32,3,1,0,0
11260-11598,198.64,4,1,0,0
11200-100225457,199.58,4,1,1,3
11620-30814,195.85,4,1,0,4
11650-9075,222.6,5,1,0,6
11260-12622,0.0,1,0,0,0
11260-12625,227.66,4,1,0,0
11320-898,118.89,2,0,0,0
11350-1819,0.0,4,1,0,0
11260-12075,118.55,2,0,0,0
11470-8368,238.29,5,1,0,6
11110-21646,296.42,4,0,0,0
11260-15410,0.0,1,0,0,0
11110-25639,0.0,1,0,0,0
11230-100185034,224.17,6,2,1,8
11140-21697,0.0,2,0,0,0
11260-15658,0.0,2,1,0,0
11260-14408,84.76,3,1,0,7
11260-1441,199.82,4,1,0,0
11260-14410,0.0,1,1,0,0
11260-12098,230.59,5,0,0,2
11260-12644,273.07,6,0,1,6
11260-16223,158.32,3,1,0,3
11110-7907,0.0,5,1,0,0
11650-9323,178.84,5,1,0,4
11260-16234,0.0,3,1,0,0
11260-16236,0.0,5,1,0,0
11260-16235,0.0,1,0,0,0
11650-12623,0.0,3,1,0,0
11260-11577,183.24,4,1,0,0
11590-30919,223.94,4,1,0,5
11110-21944,0.0,2,0,0,0
11110-25839,159.92,3,1,0,4
11560-3645,0.0,1,0,0,0
11260-12429,250.8,4,1,0,0
11260-14785,147.37,3,1,0,2
11260-14786,0.0,3,1,0,0
11110-26148,195.7236,5,1,0,2
11260-14798,116.7,2,0,0,0
11260-15528,0.0,4,1,0,0
11260-15529,214.74,5,1,0,25
11110-3984,199.67,5,1,1,6
11260-11660,170.02,3,1,0,1
11560-9677,0.0,3,1,0,0
11740-100249388,184.75,5,0,0,7
11260-14976,0.0,2,0,0,0
11740-7166,401.45,8,2,1,26
11260-14986,164.63,4,1,0,1
11560-9678,0.0,3,1,0,0
11470-100206425,246.22,6,1,1,4
11260-14892,70.75,1,0,0,0
11260-12430,207.91,5,1,0,2
11260-14396,108.91,2,1,0,2
11260-14398,0.0,1,0,0,0
11260-20065,159.75,4,1,0,0
11260-14403,0.0,2,1,0,0
11260-14404,0.0,2,0,0,0
11260-14406,0.0,3,0,0,0
11260-14617,0.0,3,1,0,0
11110-26299,0.0,1,0,0,0
11110-6212,0.0,2,0,0,0
11110-6242,0.0,1,0,0,0
11260-15366,199.5,4,1,0,0
11260-15372,0.0,4,1,0,0
11260-1193,179.46,3,1,0,0
11110-4533,0.0,2,1,0,0
11650-8416,243.56,5,1,0,4
11110-4686,202.29,5,1,0,7
11230-100185166,144.05,4,1,0,2
11110-4790,181.59,4,1,0,5
11260-1296,137.95,3,1,0,0
11110-18247,158.36,3,1,0,0
11260-13212,0.0,1,0,0,0
11260-12058,0.0,5,1,0,1
11140-7590,138.78,3,1,0,8
11140-9427,102.64,5,1,0,0
11380-26428,249.73,5,1,0,4
11215-100263371,187.35,5,2,1,7
11215-23234,115.32,2,1,1,0
11230-100189758,199.45,4,0,0,3
11500-100274824,0.0,1,2,1,0
11110-5056,155.6,3,1,0,2
11230-100189917,192.3,4,1,0,2
11650-12680,166.59,4,1,0,5
11110-18533,0.0,2,1,0,0
11170-100224483,241.11,8,3,1,36
11260-15990,0.0,4,1,0,0
11260-15991,0.0,3,1,0,0
11260-15995,0.0,1,1,0,0
11260-15996,243.21,5,1,0,11
11260-1401,224.28,4,1,0,5
11110-22734,0.0,1,0,0,0
11215-23074,171.15,3,1,0,3
11380-8429,0.0,1,0,0,0
11380-8430,0.0,1,0,0,0
11380-8432,0.0,1,0,0,0
11110-26849,0.0,1,0,0,0
11380-6166,0.0,5,1,0,0
11215-23129,197.79,4,1,0,0
11215-23199,199.47,4,1,0,3
11260-14659,0.0,1,0,0,0
11650-12784,237.43,5,1,0,5
11290-30846,0.0,4,1,0,0
11305-6774,173.74,3,1,0,0
11110-18985,0.0,2,0,0,0
11110-18986,0.0,1,0,0,0
11110-19009,0.0,1,0,0,0
11110-19040,0.0,1,0,0,0
11230-100189977,199.75,4,0,0,2
11260-14667,295.37,6,0,1,5
