건축물대장 관리번호,용적율,지상층수,지하층수,승강기 수,주차 대수
11110-26357,57.2913,1,0,0,0
11110-27411,293.36,6,2,1,16
11470-16743,154.28,3,0,0,4
11560-100235246,295.46,7,0,1,2
11260-26021,161.17,4,1,0,2
11560-14576,0.0,1,0,0,0
11350-9545,157.61,3,1,0,0
11560-26176,126.78,3,1,0,6
11200-5895,0.0,1,0,0,0
11560-33480,0.0,2,1,0,0
11170-27186,261.67,4,1,0,0
11560-5081,204.43,4,0,0,0
11560-5358,0.0,1,0,0,0
11200-9374,221.36,4,1,0,0
11290-10435,427.42,5,1,0,0
11590-21819,138.78,3,1,0,1
11590-7165,198.96,4,1,0,4
11620-100195318,192.63,4,1,0,4
11140-100192029,224.69,5,0,0,0
11140-100233482,199.7406,5,2,1,13
11410-12416,0.0,2,1,0,0
11140-11086,345.59,7,1,1,7
11110-9099,654.95,7,1,0,0
11110-6896,282.85,6,1,0,2
11620-28702,217.97,5,1,0,3
11110-17858,223.75,5,0,0,3
11590-100214258,245.52,7,1,1,6
11650-2874,248.01,5,1,0,5
11650-10788,75.31,2,1,0,4
11560-25156,48.6,1,0,0,1
11680-100195128,197.1,4,1,1,8
11680-100196927,199.39,6,2,1,12
11140-13243,0.0,1,0,0,0
11680-100207427,246.77,6,1,1,13
11140-14189,0.0,2,0,0,0
11110-27077,0.0,1,1,0,0
11140-14190,0.0,4,1,0,0
11140-14466,0.0,2,0,0,0
11140-14942,0.0,2,0,0,0
11680-100189048,93.13,3,0,0,6
11140-17027,156.67,3,1,0,0
11680-100285143,200.0,5,2,1,17
11680-100291603,244.37,6,1,1,19
11680-10318,245.09,5,1,0,4
11410-13309,225.15,5,1,0,5
11215-24650,237.65,5,1,1,2
11290-25831,0.0,3,1,0,0
11215-9804,0.0,3,1,0,2
11410-11397,236.83,5,2,2,56
11680-20460,49.16,1,1,0,0
11650-11376,0.0,2,1,0,0
11680-15130,0.0,2,1,0,0
11680-15572,178.09,5,1,0,4
11140-20902,113.65,2,0,0,0
11140-2126,0.0,4,2,0,0
11140-2351,0.0,2,0,0,0
11140-25116,0.0,3,1,0,0
11110-17809,53.9272,1,0,0,0
11140-3249,0.0,7,1,0,0
11140-3505,0.0,4,0,0,0
11680-20837,177.7,4,1,0,4
11140-25528,0.0,3,0,0,0
11140-8796,149.56,3,1,0,3
11140-4683,0.0,2,0,0,0
11140-4684,0.0,2,0,0,0
11680-22449,0.0,4,1,0,5
11140-9090,92.9,2,1,0,3
11140-5246,0.0,2,0,0,0
11110-18844,0.0,1,0,0,0
11140-6802,0.0,1,0,0,0
11140-8041,272.84,4,0,0,0
11170-100215719,256.73,5,0,1,2
11680-22607,235.77,5,1,1,5
11110-100209925,349.2,6,1,1,1
11680-23415,151.96,3,1,0,4
11680-24209,265.71,6,1,0,9
11110-10624,0.0,1,0,0,0
11590-30759,0.0,2,1,0,0
11680-3307,242.94,6,1,1,4
11680-4612,267.21,6,2,0,10
11170-14343,151.71,3,1,0,2
11680-6350,184.95,5,1,1,8
11680-6561,195.16,4,1,0,5
11680-6585,0.0,2,1,0,0
11110-23395,0.0,2,0,0,0
11410-16817,148.4,3,1,0,1
11680-6708,367.07,7,2,1,13
11680-7188,154.38,3,1,0,3
11110-29259,254.08,5,0,0,0
11110-25241,101.72,2,0,0,1
11680-6749,160.73,4,1,1,5
11680-7779,272.74,5,1,1,7
11680-8679,149.79,4,2,2,18
11110-3775,0.0,1,0,0,0
11710-100463745,242.71,6,1,1,6
11140-11111,0.0,4,1,0,0
11560-30805,167.67,4,1,0,0
11380-18178,0.0,4,1,0,0
11440-100240214,182.71,4,0,0,0
11110-15639,146.13,2,0,0,0
11380-14032,60.94,2,1,0,0
11680-18078,222.99,5,1,0,4
11440-100260583,199.35,5,0,0,2
11380-13726,298.19,6,1,1,8
11680-8017,299.67,7,1,1,5
11380-18536,205.62,5,1,0,4
11110-17583,0.0,3,0,0,0
11380-18508,192.9,4,1,0,11
11500-18977,0.0,3,1,0,0
11440-100260244,197.79,5,0,1,5
11110-4932,0.0,3,1,0,0
11380-18523,158.25,3,1,1,2
11110-1298,28.75,1,1,0,0
11110-1137,0.0,2,1,0,0
11200-19187,108.53,2,1,0,2
11110-15323,127.7307,2,0,0,0
11110-29036,0.0,1,0,0,0
11110-15894,103.44,3,2,1,3
11110-4058,209.768,5,1,0,1
11290-26713,0.0,1,0,0,0
11260-1458,246.74,5,1,0,0
11260-16900,92.13,2,1,0,0
11260-6865,267.6,6,1,0,6
11680-9148,209.45,5,1,0,4
11290-100257990,199.98,4,0,1,2
11290-13539,205.06,4,1,0,4
11110-7055,0.0,5,1,0,0
11380-18538,0.0,5,1,0,0
