관리_전유_공용_면적_pk,층_구분_코드,층_번호,면적
11260-100088962,40.0,0,20.71
11230-100073338,20.0,1,36.955
11230-100073339,20.0,1,36.955
11530-100096902,20.0,0,1.407
11260-100088963,40.0,0,20.13
11530-100096903,20.0,0,3.902
11530-100096904,20.0,0,3.211
11230-100073340,20.0,1,36.955
11500-8827,10.0,2,3.36
11260-100088964,40.0,0,20.71
11680-1000000000000000064312,20.0,5,22.53
11680-1000000000000000064313,40.0,0,8.84
11260-100088965,40.0,0,24.5
11260-100088966,40.0,0,25.21
11230-100073341,20.0,1,36.955
11680-1000000000000000064314,40.0,0,8.84
11260-100088967,40.0,0,27.59
11680-1000000000000000064315,40.0,0,17.72
11230-100073457,40.0,0,2.266
11230-100073458,40.0,0,15.394
11230-100073459,40.0,0,23.7546
11230-100073466,40.0,0,1.7393
11260-100088968,40.0,0,26.81
11230-100073342,20.0,1,35.717
11545-100148359,40.0,0,7.31
11545-100148360,40.0,0,14.67
11110-100029640,40.0,0,12.24
11545-100148361,40.0,0,6.16
11545-100148362,40.0,0,10.34
11545-100148363,40.0,0,8.72
11545-100148364,40.0,0,20.74
11545-100151913,40.0,0,25.72
11545-100151914,40.0,0,2.23
11545-100151916,40.0,0,25.72
11545-100151917,40.0,0,21.14
11545-100148365,40.0,0,4.01
11545-100148366,40.0,0,3.38
11545-100148367,40.0,0,8.05
11545-100148368,40.0,0,1.03
11545-100148369,40.0,0,0.87
11545-100151919,40.0,0,25.72
11545-100151920,40.0,0,21.14
11545-100151921,40.0,0,2.23
11545-100151925,40.0,0,32.4
11230-100073343,20.0,1,35.4
11545-100148370,40.0,0,2.08
11545-100148371,40.0,0,5.87
11545-100148372,40.0,0,4.95
11545-100148373,40.0,0,11.79
11545-100148374,40.0,0,3.42
11545-100148375,40.0,0,2.88
11545-100148376,40.0,0,6.86
11545-100148377,40.0,0,4.65
11110-100029641,40.0,0,4.59
11545-100148378,40.0,0,3.92
11110-100029643,40.0,0,4.62
11215-100098088,20.0,0,66.74
11545-100148379,40.0,0,9.33
11545-100148380,40.0,0,22.0
11545-100148381,40.0,0,18.56
11260-100100274,40.0,0,7.09
11230-100073456,40.0,0,11.139
11290-100059023,20.0,1,47.0
11290-100059024,20.0,1,28.86
11230-100081151,20.0,1,36.16
11545-100148382,40.0,0,44.13
11680-1000000000000000064316,20.0,2,22.53
11680-1000000000000000064317,40.0,0,18.44
11110-100029644,40.0,0,12.33
11110-100029645,40.0,0,5.89
11110-100029646,40.0,0,15.72
11530-100104979,40.0,0,42.6
11680-100091614,40.0,0,2.24
11530-100104982,40.0,0,4.39
11530-100104987,40.0,0,51.26
11680-100092172,40.0,0,91.3423
11680-100092207,10.0,3,86.8333
11260-100099628,10.0,1,2.36
11710-100230494,20.0,1,59.87
11530-100104974,40.0,0,8.69
11530-100104976,40.0,0,4.1
11530-100104977,40.0,0,8.73
11530-100104978,40.0,0,4.11
11530-100104980,40.0,0,9.33
11530-100104981,40.0,0,45.51
11530-100104983,40.0,0,10.48
11530-100104984,40.0,0,51.15
11530-100104985,40.0,0,4.94
11530-100104986,40.0,0,10.5
11530-100104989,40.0,0,9.3
11500-100222251,20.0,1,4.88
11500-100221958,20.0,1,46.2
11500-100221959,20.0,1,92.4
11545-100183002,20.0,1,36.54
11545-100183032,20.0,1,45.36
11230-100081158,20.0,1,12.43
11545-100183073,20.0,1,36.27
11545-100155674,10.0,1,19.66
11545-100155693,10.0,1,23.52
11545-100182991,20.0,1,36.54
11590-100056079,10.0,1,89.3
11590-100056080,10.0,1,113.95
11590-100056101,10.0,1,1.33
11590-100056102,10.0,1,11.69
11530-100105281,20.0,2,38.98
11530-100105282,20.0,2,40.97
11530-100105283,20.0,2,72.51
11530-100105296,20.0,2,8.93
11530-100105297,20.0,2,9.49
11530-100105298,20.0,2,9.89
11530-100105299,20.0,2,12.52
11620-100115079,20.0,2,0.87
11620-100115080,20.0,2,0.23
11620-100115081,40.0,0,3.73
11620-100115082,20.0,2,0.55
11620-100115087,20.0,2,1.81
11620-100115088,20.0,2,0.48
11620-100115089,40.0,0,7.99
11620-100115090,20.0,2,1.18
11620-100115091,20.0,4,1.81
11620-100115092,20.0,3,1.18
11620-100115093,20.0,3,0.48
11620-100115094,40.0,0,7.99
11620-100115099,20.0,3,1.82
11620-100115100,40.0,0,8.04
11620-100115101,20.0,3,0.49
11620-100115102,20.0,3,1.19
11620-100115103,20.0,4,1.82
11620-100115104,20.0,4,1.19
11620-100115105,40.0,0,8.04
11620-100115106,20.0,4,0.49
11620-100115111,20.0,2,1.88
11620-100115112,20.0,2,1.23
11620-100115113,40.0,0,8.3
11620-100115114,20.0,2,0.51
11620-100115115,20.0,4,1.88
11620-100115116,20.0,4,1.23
11620-100115117,20.0,4,0.51
11620-100115118,40.0,0,8.3
11620-100115123,20.0,3,2.01
11620-100115124,20.0,3,1.31
11620-100115125,20.0,3,0.54
11620-100115126,40.0,0,8.91
11620-100115127,20.0,4,2.01
11620-100115128,20.0,4,1.31
11620-100115129,40.0,0,8.91
11620-100115130,20.0,4,0.54
11545-100183867,40.0,0,15.8816
11545-100183868,40.0,0,32.762
11545-100183869,40.0,0,2.0919
11215-100097291,,0,36.86
11215-100097293,40.0,0,4.34
11215-100097296,40.0,0,12.4
11215-100100991,10.0,1,30.36
11215-100100992,20.0,2,64.83
11215-100100995,20.0,2,85.62
11230-100073348,20.0,1,32.965
11230-100080829,20.0,1,10.48
11620-100115063,20.0,2,12.16
11620-100115065,20.0,2,26.27
11620-100115066,20.0,4,26.27
11620-100115068,20.0,3,26.44
11620-100115069,20.0,4,26.44
11620-100115071,20.0,2,27.3
11620-100115072,20.0,4,27.3
11620-100115074,20.0,3,29.28
11620-100115075,20.0,4,29.28
11215-100101000,10.0,1,392.2
11215-100101016,20.0,1,0.005
11215-100101017,10.0,2,1.73
11215-100101018,20.0,1,3.46
11215-100101019,20.0,2,1.77
11215-100101020,40.0,0,12.82
11215-100101021,10.0,2,1.73
11215-100101022,20.0,2,1.77
11110-100029656,40.0,0,24.19
11110-100027412,20.0,1,29.88
11110-100027446,10.0,1,3.9359
11110-100027447,10.0,0,4.4502
11110-100027448,10.0,0,7.8388
11110-100027449,10.0,1,4.2099
11110-100027450,10.0,0,4.76
11290-100058962,20.0,1,27.55
11290-100058973,40.0,0,7.08
11350-100055504,20.0,1,25.53
11350-100055505,20.0,0,63.22
11350-100055507,10.0,1,17.69
11350-100055508,20.0,1,5.64
11350-100055509,20.0,0,13.98
11380-100124604,20.0,1,35.16
11590-100056103,10.0,1,25.57
11590-100056104,10.0,1,1.25
11590-100056105,10.0,1,10.98
11590-100056106,10.0,1,24.03
11590-100056107,10.0,1,30.66
11590-100056108,10.0,1,14.02
11590-100056109,10.0,1,1.59
11680-100091761,20.0,0,66.4
11680-100091762,20.0,0,34.09
11680-100091763,20.0,0,59.76
11680-100091764,20.0,0,66.4
11680-100091765,20.0,0,64.62
11680-100091766,20.0,0,59.76
11680-100091767,20.0,0,66.4
11680-100091769,20.0,0,69.38
11680-100091770,20.0,0,59.97
11170-100065201,20.0,4,24.44
11170-100065202,20.0,4,33.9
11170-100065203,20.0,4,57.87
11170-100065204,20.0,6,417.76
11170-100065205,20.0,4,23.04
11170-100065206,20.0,4,31.97
11170-100065207,20.0,4,54.57
11170-100065208,20.0,6,383.28
11500-8830,22.0,0,147.6
11680-100091768,20.0,0,64.62
11380-30054,20.0,1,30.45
11380-30055,20.0,1,2.12
11380-30057,20.0,1,33.79
11380-30058,20.0,0,2.35
11380-30059,40.0,0,3.84
11380-30066,20.0,2,61.92
11380-30067,20.0,1,4.32
11380-30068,40.0,0,7.04
11380-30078,20.0,1,26.73
11380-30079,20.0,1,1.86
11380-30080,40.0,0,3.04
11500-8831,22.0,0,36.81
11560-100082391,20.0,0,60.97
11500-8832,21.0,0,67.18
11500-8833,10.0,2,5.07
11710-100214656,20.0,1,40.01
11710-100213796,40.0,0,8.7574
11710-100213797,40.0,0,2.3741
11710-100213798,40.0,0,0.3768
11710-100213799,40.0,0,2.7362
11710-100213800,40.0,0,10.0929
11710-100213801,40.0,0,9.4939
11710-100213802,40.0,0,0.3593
11710-100213803,40.0,0,2.6094
11710-100213804,40.0,0,9.0539
11710-100213805,40.0,0,9.6252
11710-100213806,40.0,0,0.3593
11710-100213807,40.0,0,2.6094
11710-100213808,40.0,0,9.0539
11710-100213809,40.0,0,9.6252
11710-100213810,40.0,0,0.3593
11710-100213811,40.0,0,9.0539
11710-100213812,40.0,0,9.6252
11710-100213813,40.0,0,2.6094
11710-100213814,40.0,0,0.3593
11710-100213815,40.0,0,2.6094
11710-100213816,40.0,0,9.6252
11710-100213817,40.0,0,9.0539
11500-8834,10.0,1,3.73
11680-100080191,20.0,1,29.82
11680-100080192,20.0,1,31.94
11500-8835,10.0,1,1.52
11140-100121414,20.0,1,42.4654
11140-100121415,20.0,1,33.6721
11140-100121416,20.0,1,46.5882
11140-100121417,20.0,1,79.022
11140-100121418,20.0,1,104.8437
11140-100121419,20.0,1,98.67
11140-100121420,20.0,1,96.4692
11140-100121421,20.0,1,88.2963
11140-100121422,20.0,1,94.9614
11140-100121423,20.0,1,86.5257
11140-100121426,20.0,1,28.3522
11140-100121427,20.0,1,68.5287
11140-100121428,20.0,1,278.0293
11500-100205272,10.0,2,43.6244
11500-100205266,40.0,0,75.3831
11500-100205267,40.0,0,20.7109
11500-100205268,40.0,0,84.8084
11500-100205269,10.0,2,15.4206
11140-100121406,20.0,1,88.9079
11140-100121407,20.0,1,117.7958
11140-100121408,20.0,1,111.1891
11140-100121409,20.0,1,122.1464
11140-100121410,20.0,1,68.8888
11140-100121411,20.0,1,81.448
11140-100121412,20.0,1,70.0868
11650-100069728,40.0,0,56.95
11500-8836,10.0,1,186.38
11500-8837,10.0,1,46.48
11710-100213851,40.0,0,2.692
11710-100213852,40.0,0,9.3404
11710-100213853,40.0,0,9.9298
11710-100213854,40.0,0,0.3707
11710-100213855,40.0,0,2.692
11710-100213856,40.0,0,9.3404
11710-100213857,40.0,0,9.9298
11710-100213858,40.0,0,0.3707
11710-100213859,40.0,0,9.3404
11710-100213860,40.0,0,9.9298
11710-100213861,40.0,0,2.692
11710-100213862,40.0,0,0.3707
11710-100213863,40.0,0,2.692
11710-100213864,40.0,0,9.9298
11710-100213865,40.0,0,9.3404
11710-100213866,40.0,0,0.3707
11710-100213867,40.0,0,2.692
11710-100213868,40.0,0,9.3404
11710-100213869,40.0,0,9.9298
11710-100213870,40.0,0,1.3427
11500-100207782,10.0,1,14.81
11500-100207783,20.0,1,1.39
11500-100207784,20.0,1,0.51
11500-100207785,10.0,1,0.26
11500-100207786,40.0,0,1.91
11500-100207787,40.0,0,3.7
11500-100207788,40.0,0,1.91
11500-100207789,10.0,1,0.26
11500-100207790,10.0,1,14.81
11710-100213906,40.0,0,20.0567
11710-100213907,40.0,0,0.796
11710-100213908,40.0,0,21.3223
11710-100213909,40.0,0,5.7804
11710-100213910,40.0,0,21.2037
11710-100213911,40.0,0,22.5417
11710-100213912,40.0,0,6.111
11710-100213913,40.0,0,0.8415
11710-100213914,40.0,0,17.9728
11710-100213915,40.0,0,0.7133
11710-100213916,40.0,0,5.1799
11710-100213917,40.0,0,19.1069
11710-100213918,40.0,0,11.9331
11710-100213919,40.0,0,0.4736
11710-100213920,40.0,0,12.686
11710-100213921,40.0,0,3.4392
11710-100213922,40.0,0,12.4328
11710-100213923,40.0,0,0.4934
11710-100213924,40.0,0,13.2174
11710-100213925,40.0,0,3.5832
11500-100205141,20.0,0,267.5681
11500-8838,21.0,0,84.82
11500-8839,10.0,2,6.41
11500-8840,10.0,1,4.7
11260-100089346,40.0,0,45.26
11260-100088591,10.0,0,45.95
11260-100088592,10.0,0,49.72
11260-100088593,10.0,0,50.6
11260-100088594,10.0,0,45.95
11260-100088595,10.0,0,45.95
11260-100088596,10.0,0,45.95
11260-100088597,10.0,0,45.95
11260-100088598,10.0,0,45.95
11260-100088599,10.0,0,45.95
11260-100088600,10.0,0,49.14
11260-100088601,10.0,0,49.14
11260-100088602,10.0,0,49.14
11260-100088603,10.0,0,49.14
11260-100088604,10.0,0,49.14
11260-100088605,10.0,0,49.14
11260-100088606,10.0,0,49.14
11260-100088607,10.0,0,69.67
11500-8841,10.0,1,1.92
11215-100091928,40.0,0,11.76
11215-100091929,40.0,0,23.3
11260-100088951,40.0,0,21.81
11260-100088952,40.0,0,22.44
11260-100088953,40.0,0,21.81
11260-100088954,40.0,0,22.44
11260-100088955,40.0,0,21.81
11260-100088956,40.0,0,22.44
11260-100088957,40.0,0,21.81
11260-100088958,40.0,0,22.44
11260-100088959,40.0,0,21.81
11260-100088960,40.0,0,22.44
11260-100088961,40.0,0,20.13
11215-100091930,40.0,0,5.31
11215-100091931,40.0,0,2.46
11215-100091933,40.0,0,5.3
11215-100091934,40.0,0,2.46
11215-100091935,40.0,0,4.87
11215-100091936,40.0,0,5.55
11215-100091937,40.0,0,5.1
11215-100091938,40.0,0,2.57
11215-100091473,40.0,0,6.92
11215-100091939,40.0,0,5.31
11215-100091941,40.0,0,2.46
11215-100091942,40.0,0,5.3
11710-100213871,40.0,0,9.7343
11710-100213872,40.0,0,33.7799
11710-100213873,40.0,0,35.9116
11710-100213874,40.0,0,0.3294
11710-100213875,40.0,0,8.2994
11710-100213876,40.0,0,8.8231
11710-100213877,40.0,0,2.3919
11710-100213878,40.0,0,0.3593
11710-100213879,40.0,0,9.0539
11710-100213880,40.0,0,2.6094
11710-100213881,40.0,0,9.6252
11710-100213882,40.0,0,0.3593
11710-100213883,40.0,0,9.6252
11710-100213884,40.0,0,9.0539
11710-100213885,40.0,0,2.6094
11710-100213886,40.0,0,0.3593
11710-100213887,40.0,0,2.6094
11710-100213888,40.0,0,9.0539
11710-100213889,40.0,0,9.6252
11710-100213890,40.0,0,0.3593
11710-100213891,40.0,0,2.6094
11710-100213892,40.0,0,9.0539
11710-100213893,40.0,0,9.6252
11710-100213894,40.0,0,9.0539
11710-100213895,40.0,0,9.6252
11710-100213896,40.0,0,2.6094
11710-100213897,40.0,0,0.3593
11710-100213898,40.0,0,9.0539
11710-100213899,40.0,0,0.3593
11710-100213900,40.0,0,2.6094
11710-100213901,40.0,0,9.6252
11710-100213902,40.0,0,9.0539
11710-100213903,40.0,0,0.3593
11710-100213904,40.0,0,9.6252
11710-100213905,40.0,0,2.6094
11500-8842,20.0,2,238.56
11110-100024862,20.0,1,8.74
11110-100024865,10.0,1,0.81
11710-100213836,40.0,0,18.3434
11710-100213837,40.0,0,19.5009
11710-100213838,40.0,0,0.4866
11710-100213839,40.0,0,3.5332
11710-100213840,40.0,0,12.2594
11710-100213841,40.0,0,13.0329
11710-100213842,40.0,0,1.031
11710-100213843,40.0,0,25.9774
11710-100213844,40.0,0,27.6166
11710-100213845,40.0,0,7.4867
11710-100213846,40.0,0,0.4093
11710-100213847,40.0,0,2.9723
11710-100213848,40.0,0,10.9641
11710-100213849,40.0,0,10.3133
11215-100091262,40.0,0,15.116
11110-100024867,10.0,1,0.89
11710-100218689,40.0,0,7.256
11710-100218690,10.0,1,0.46
11710-100218691,20.0,1,0.165
11710-100218695,40.0,0,36.448
11710-100218696,20.0,1,0.83
11710-100218697,20.0,1,2.309
11500-8843,20.0,1,59.5
11215-100091429,10.0,1,35.68
11215-100091430,40.0,0,9.98
11215-100091431,10.0,1,0.82
11215-100091432,10.0,1,0.66
11215-100091836,20.0,13,126.97
11215-100091837,20.0,2,26.6
11215-100091838,20.0,2,26.52
11215-100091841,20.0,3,26.53
11215-100091842,20.0,3,27.76
11710-100218715,20.0,1,0.735
11260-100082521,20.0,1,27.2
11260-100082522,20.0,1,28.0
11260-100082529,40.0,0,5.2
11260-100082530,40.0,0,5.36
11620-100113354,20.0,1,21.43
11545-100183621,40.0,0,11.348
11545-100183622,40.0,0,1.4948
11260-100079267,20.0,2,2.6
11260-100079268,20.0,1,1.69
11260-100079269,40.0,0,17.22
11260-100079270,20.0,1,1.54
11260-100079271,20.0,2,2.38
11260-100079216,20.0,1,9.07
11260-100079230,40.0,0,2.89
11545-100183623,40.0,0,23.4097
11215-100087909,20.0,1,40.53
11215-100087910,20.0,2,41.36
11215-100087911,20.0,2,41.36
11215-100087912,20.0,3,41.36
11215-100087913,20.0,3,41.36
11215-100087924,10.0,1,10.91
11215-100087925,20.0,1,21.02
11215-100095688,10.0,1,48.95
11215-100095689,20.0,2,70.45
11215-100095700,40.0,0,17.87
11215-100095701,10.0,1,3.22
11215-100095702,40.0,0,25.72
11215-100095703,10.0,1,4.63
11260-100093743,20.0,0,35.25
11260-100093749,40.0,0,14.22
11500-8844,21.0,0,108.57
11440-100055760,20.0,0,42.65
11440-100055761,20.0,0,45.67
11440-100055762,20.0,0,47.06
11440-100055780,20.0,1,57.72
11440-100055781,20.0,2,96.37
11440-100055782,20.0,3,89.76
11440-100055783,20.0,4,89.67
11440-100055784,20.0,5,85.12
11440-100055785,20.0,1,9.6
11440-100055786,20.0,2,9.6
11440-100055787,20.0,3,9.6
11440-100055788,20.0,4,9.6
11440-100055789,20.0,5,9.6
11440-100055800,20.0,0,459.17
11440-100055801,20.0,0,273.78
11440-100055803,40.0,0,40.08
11440-100055804,10.0,5,157.84
11440-100055805,10.0,6,51.98
11440-100055806,40.0,0,170.32
11440-100055807,10.0,5,36.45
11440-100055808,10.0,6,12.0
11440-100055820,20.0,2,32.54
11440-100055821,20.0,2,15.74
11440-100055830,10.0,1,79.65
11440-100055833,20.0,2,6.3
11440-100055842,10.0,1,31.89
11440-100055860,20.0,1,57.39
11215-100091943,40.0,0,2.46
11215-100091944,40.0,0,4.87
11215-100091945,40.0,0,5.55
11215-100091946,40.0,0,2.57
11170-100059291,20.0,2,49.93
11500-100205552,40.0,0,6.72
11500-100205553,10.0,0,24.71
11500-100205554,20.0,1,0.41
11500-100205555,10.0,2,1.55
11500-100205556,40.0,0,6.72
11500-100205557,10.0,0,24.71
11500-100205558,10.0,2,1.55
11500-100205559,20.0,1,0.41
11500-100205560,40.0,0,4.17
11500-100205561,10.0,2,0.96
11500-100205562,20.0,1,0.2
11170-100059322,20.0,2,5.25
11170-100059323,40.0,0,10.83
11170-100059324,20.0,1,0.87
11500-8845,10.0,2,8.2
11440-100056500,20.0,1,28.37
11440-100056501,10.0,1,2.26
11440-100056502,40.0,0,3.62
11500-8846,10.0,1,6.02
11260-100080100,20.0,1,24.32
11260-100080107,40.0,0,5.72
11500-100205566,10.0,2,2.04
11500-8847,10.0,1,2.46
11230-100069744,40.0,0,21.68
11260-100076418,20.0,0,32.38
11260-100076420,20.0,2,58.24
11260-100076425,40.0,0,5.46
11260-100076426,20.0,1,0.61
11260-100076427,10.0,0,4.01
11260-100076428,20.0,1,0.17
11260-100076429,40.0,0,6.81
11260-100076432,20.0,2,3.0
11260-100076434,20.0,0,2.81
11260-100076435,40.0,0,9.57
11260-100076436,40.0,0,9.95
11260-100076437,20.0,1,1.13
11260-100076439,20.0,2,3.1
11260-100076440,20.0,1,3.98
11260-100076441,20.0,0,2.9
11260-100076442,10.0,0,7.04
11260-100076443,40.0,0,10.95
11260-100076444,10.0,1,7.78
11260-100076445,20.0,1,1.25
11260-100076446,20.0,0,3.2
11260-100076447,20.0,1,4.39
11260-100076448,20.0,1,0.31
11260-100076449,20.0,0,2.1
11260-100076450,20.0,1,2.87
11260-100076451,10.0,1,5.1
11260-100076452,20.0,1,0.82
11260-100076453,40.0,0,7.18
11260-100076454,20.0,1,0.2
11620-100104783,10.0,1,39.19
11620-100104784,20.0,2,41.24
11620-100104785,20.0,2,39.77
11620-100104786,20.0,2,20.67
11620-100104793,10.0,1,1.48
11620-100104794,40.0,0,15.93
11620-100104795,10.0,1,1.55
11620-100104796,40.0,0,16.76
11620-100104797,10.0,1,1.5
11620-100104798,40.0,0,16.17
11620-100104799,10.0,1,0.78
11620-100104800,40.0,0,8.4
11110-100027107,20.0,1,42.05
11110-100027108,20.0,2,78.58
11110-100027109,10.0,0,91.8
11500-8848,20.0,6,247.56
11110-100027110,40.0,0,6.46
11500-8849,20.0,6,61.74
11500-8850,21.0,0,112.67
11215-100091474,10.0,1,0.57
11500-100207793,40.0,0,3.7
11500-100207797,20.0,1,0.51
11500-100207798,10.0,1,0.26
11500-100207811,40.0,0,18.65
11500-100207812,10.0,1,1.3
11560-100079540,20.0,0,2.256
11710-100231494,20.0,3,76.23
11710-100231495,20.0,0,135.94
11710-100231497,40.0,0,28.05
11710-100231498,10.0,0,43.19
11710-100231499,10.0,0,5.48
11710-100231500,40.0,0,50.02
11710-100231501,10.0,0,77.02
11710-100231496,10.0,6,3.07
11545-100183624,40.0,0,11.348
11545-100183625,40.0,0,1.4948
11545-100183626,40.0,0,23.4097
11215-100098472,20.0,0,40.6937
11545-100183627,40.0,0,12.221
11545-100183628,40.0,0,25.2105
11545-100183629,40.0,0,1.6098
11545-100183630,40.0,0,12.221
11545-100183631,40.0,0,25.2105
11545-100183632,40.0,0,1.6098
11545-100183633,40.0,0,12.221
11545-100183634,40.0,0,1.6098
11545-100183635,40.0,0,25.2105
11545-100183735,40.0,0,12.7935
11530-100104949,20.0,0,93.72
11500-100207813,20.0,2,7.02
11500-100207814,10.0,1,74.73
11230-100073345,20.0,1,42.948
11500-8851,10.0,2,8.51
11500-8856,21.0,0,124.79
11230-100073357,20.0,1,41.529
11110-100027111,20.0,1,2.55
11500-8857,10.0,2,9.42
11500-8858,10.0,1,6.92
11230-100073358,20.0,1,30.495
11500-8859,10.0,1,2.82
11500-8860,22.0,0,306.24
11500-8862,21.0,0,139.37
11500-8863,10.0,2,10.53
11620-100111100,40.0,0,51.24
11500-8864,10.0,1,7.73
11530-100104950,20.0,0,119.76
11530-100104951,20.0,0,109.6
11530-100104952,20.0,0,132.69
11230-100073359,20.0,1,30.495
11530-100104953,20.0,0,94.13
11110-100027112,40.0,0,12.08
11110-100027113,20.0,1,4.77
11230-100073360,20.0,1,43.018
11590-100054021,10.0,1,110.22
11590-100054022,40.0,0,5.13
11590-100054037,40.0,0,8.31
11620-100111049,20.0,3,180.96
11620-100111051,20.0,2,180.96
11530-100104954,20.0,0,94.15
11530-100104955,20.0,0,100.47
11650-100077346,40.0,0,18.02
11650-100077347,10.0,1,4.79
11500-8865,10.0,1,3.15
11110-100027114,40.0,0,14.1
11230-100073361,20.0,1,38.295
11230-100073362,20.0,2,43.139
11290-100051928,40.0,0,45.54
11290-100051929,10.0,2,4.97
11290-100051930,20.0,1,13.79
11290-100051931,40.0,0,39.97
11290-100051932,10.0,2,4.37
11290-100051933,20.0,1,12.11
11530-100104956,20.0,0,93.72
11110-100027115,20.0,1,5.58
11260-100092322,20.0,0,40.15
11140-100127506,10.0,1,106.02
11260-100092323,20.0,0,102.49
11260-100092324,20.0,0,96.39
11260-100083598,20.0,2,40.169
11710-100210115,10.0,1,57.71
11230-100073351,20.0,1,69.463
11260-100085059,10.0,1,56.7
11260-100085104,40.0,0,16.95
11260-100085105,10.0,1,1.86
11260-100085106,10.0,1,5.4
11590-100057460,40.0,0,9.3036
11590-100057461,10.0,1,15.2177
11590-100057464,40.0,0,11.7496
11590-100057465,10.0,1,19.2186
11590-100057443,20.0,1,55.77
11590-100057458,40.0,0,7.8647
11230-100073355,20.0,1,32.775
11215-100086033,20.0,0,250.37
11215-100086034,10.0,1,292.64
11230-100073370,20.0,2,40.72
11620-100111148,10.0,2,31.091
11620-100111149,20.0,1,5.506
11620-100111150,10.0,2,2.598
11620-100111151,20.0,1,0.496
11620-100111152,20.0,1,0.46
11620-100111153,40.0,0,46.038
11620-100111154,10.0,2,31.091
11620-100111155,20.0,1,5.937
11620-100111156,20.0,1,5.506
11215-100086039,40.0,0,17.54
11215-100086040,40.0,0,6.44
11215-100086041,40.0,0,22.66
11215-100086042,40.0,0,6.69
11215-100091925,40.0,0,2.54
11260-100092325,20.0,0,96.39
11710-100221998,20.0,0,47.39
11710-100221999,20.0,0,48.06
11710-100222000,20.0,0,61.12
11710-100222001,20.0,0,58.14
11710-100222002,20.0,0,42.93
11215-100091927,40.0,0,25.36
11710-100222003,20.0,0,43.0
11140-100127520,10.0,1,34.73
11260-100092326,20.0,0,96.39
11260-100092327,20.0,0,96.39
11710-100222004,20.0,0,60.48
11710-100222005,20.0,0,48.2
11710-100222006,20.0,0,34.21
11215-100091932,40.0,0,4.88
11230-100073510,40.0,0,15.4625
11710-100222007,20.0,0,38.08
11710-100222008,20.0,0,37.97
11710-100222009,20.0,0,42.93
11620-100105235,40.0,0,5.55
11215-100098492,40.0,0,1.9712
11215-100098494,40.0,0,1.9712
11215-100098498,40.0,0,18.3288
11110-100029607,40.0,0,116.47
11710-100222010,20.0,0,43.0
11215-100098503,40.0,0,10.1077
11215-100091940,40.0,0,4.88
11710-100222011,20.0,0,60.48
11710-100222012,20.0,0,48.2
11710-100222013,20.0,0,34.21
11710-100222014,20.0,0,38.08
11230-100073605,40.0,0,24.1573
11710-100222015,20.0,0,37.97
11230-100073606,40.0,0,2.3045
11710-100222016,20.0,0,42.93
11230-100073371,20.0,2,69.158
11710-100222017,20.0,0,43.0
11710-100222018,20.0,0,60.48
11710-100222019,20.0,0,48.2
11380-30056,40.0,0,3.46
11710-100222020,20.0,0,34.21
11710-100222021,20.0,0,38.08
11710-100222022,20.0,0,37.97
11710-100222023,10.0,0,236.35
11710-100222024,10.0,0,175.88
11260-100097169,40.0,0,8.49
11260-100097170,20.0,0,4.85
11305-100049526,20.0,0,33.81
11710-100222041,20.0,0,12.73
11710-100222042,40.0,0,8.05
11710-100222043,40.0,0,3.1
11710-100222044,20.0,0,12.92
11710-100222045,40.0,0,3.1
11710-100222046,40.0,0,8.16
11710-100222047,20.0,0,16.42
11710-100222048,40.0,0,10.38
11710-100222108,40.0,0,2.22
11710-100222109,40.0,0,5.81
11710-100222110,20.0,0,15.89
11710-100222111,40.0,0,2.48
11710-100222112,40.0,0,6.47
11710-100222113,20.0,0,15.84
11710-100222114,40.0,0,2.47
11710-100222115,40.0,0,6.45
11710-100222116,10.0,0,58.37
11710-100222117,40.0,0,40.13
11710-100222118,40.0,0,15.35
11710-100222119,10.0,0,43.43
11710-100222120,40.0,0,29.87
11710-100222049,40.0,0,3.97
11710-100222050,20.0,0,15.62
11710-100222051,40.0,0,9.87
11260-100092328,20.0,0,96.39
11215-100091839,20.0,2,27.76
11710-100222052,40.0,0,3.78
11710-100222053,20.0,0,17.92
11710-100222054,40.0,0,7.29
11710-100222055,40.0,0,2.79
11710-100222056,20.0,0,17.94
11710-100222057,40.0,0,2.79
11710-100222058,40.0,0,7.3
11710-100222059,20.0,0,25.24
11710-100222060,40.0,0,10.27
11215-100091840,20.0,3,26.6
11710-100222061,40.0,0,3.93
11710-100222062,20.0,0,20.11
11110-100029608,40.0,0,125.25
11710-100222063,40.0,0,8.18
11110-100029609,40.0,0,125.25
11680-100092397,40.0,0,51.92
11680-100092398,40.0,0,59.83
11710-100222064,40.0,0,3.13
11710-100222065,20.0,0,14.27
11710-100222066,40.0,0,5.81
11710-100222067,40.0,0,2.22
11680-100092399,40.0,0,14.03
11680-100092400,40.0,0,19.42
11680-100092401,40.0,0,5.25
11680-100092402,40.0,0,22.37
11710-100222068,20.0,0,15.89
11230-100073372,20.0,2,69.613
11215-100091947,40.0,0,5.1
11710-100222069,40.0,0,2.48
11710-100222070,40.0,0,6.47
11710-100222071,40.0,0,2.47
11710-100222072,40.0,0,6.45
11710-100222073,20.0,0,15.84
11710-100222074,20.0,0,17.92
11710-100222075,40.0,0,2.79
11710-100222076,40.0,0,7.29
11710-100222077,20.0,0,17.94
11230-100073356,20.0,1,53.051
11710-100222078,40.0,0,2.79
11710-100222079,40.0,0,7.3
11710-100222080,20.0,0,25.24
