건축물대장 관립번호,용적율,주건축물수,세대수,가구수,주차 대수
11410-100205741,199.65,2,16,0,13
11410-100206241,163.745,2,0,0,47
11410-100206421,199.23,2,15,0,12
11215-569,0.0,2,0,1,0
11215-570,0.0,2,0,1,0
11470-100223656,199.64,2,24,0,17
11320-269,0.0,2,0,1,0
11470-79,0.0,2,0,1,0
11260-591,249.54,10,858,0,832
11215-637,0.0,2,0,1,0
11290-100241576,235.93,13,629,0,708
11215-639,0.0,2,0,1,0
11215-644,0.0,2,0,1,0
11560-49,0.0,14,0,37,0
11320-307,106.07,2,0,1,7
11410-100206930,149.89,2,21,0,17
11215-25,229.81,2,12,0,8
11410-100207618,199.87,3,24,0,21
11215-625,0.0,2,0,1,0
11530-100263287,193.99,2,29,0,19
11470-100205245,199.93,4,40,0,29
11320-371,0.0,0,0,2,0
11215-635,0.0,2,0,1,0
11410-100207839,132.99,2,0,2,0
11410-100207899,242.78,4,88,0,116
11410-100208099,148.27,2,16,0,13
11410-100208147,66.18,2,0,0,0
11410-100208160,249.96,2,19,0,27
11560-100265229,52.87,2,0,1,0
11410-100208802,0.0,0,0,0,0
11410-100209241,202.89,2,23,0,19
11500-100286947,80.89,2,0,0,0
11410-100209481,149.38,2,16,0,13
11410-100209761,199.94,2,16,0,14
11320-347,0.0,2,4,0,0
11200-221,0.0,0,0,0,0
11410-100211249,149.65,2,13,0,11
11410-100212161,191.93,2,19,0,17
11410-100212921,149.63,3,36,0,29
11410-100213541,199.93,2,16,0,13
11200-1229,215.75,2,0,0,27
11410-100215149,200.05,2,16,0,13
11410-100215261,243.98,2,23,0,15
11230-100249494,77.81,2,24,0,23
11410-100215459,234.54,11,296,0,334
11410-100215879,180.24,2,24,0,19
11530-100205061,213.28,2,0,0,5
11320-155,31.03,3,0,0,2
11215-384,83.28,2,0,0,51
11410-100221442,149.7429,2,14,0,11
11410-100222261,199.95,5,49,0,40
11320-230,218.78,2,19,0,8
11320-231,116.82,2,19,0,6
11320-97,188.28,2,49,0,55
11320-233,188.1,2,18,0,6
11320-237,88.0,2,8,0,3
11320-238,195.43,2,19,0,8
11230-100249534,621.72,2,65,0,77
11470-419,147.74,2,0,0,18
11320-242,103.37,2,10,0,2
11560-26,0.0,2,0,1,0
11410-11,0.0,2,12,0,0
11200-984,47.14,10,0,0,16
11140-1163,0.0,3,0,0,0
11410-118,88.94,2,0,1,9
11305-696,0.0,2,0,2,0
11500-701,0.0,2,0,2,0
11410-119,155.6,3,0,1,1
11410-120,101.99,16,0,0,280
11320-19,0.0,0,19,0,0
11410-136,0.0,6,0,4,0
11560-816,78.62,3,0,0,2
11410-138,0.0,3,0,0,0
11410-14,0.0,7,610,0,0
11410-140,0.0,3,0,1,0
11410-143,0.0,2,0,2,0
11410-150,0.0,2,0,0,0
11530-371,73.97,3,0,0,18
11410-162,0.0,2,0,4,0
11170-100217619,75.13,2,12,0,25
11170-104,222.85,6,283,0,478
11650-129,270.07,2,161,0,397
11410-171,46.68,0,0,0,98
11410-174,131.14,3,0,1,0
11650-131,268.14,2,77,0,182
11410-177,88.25,2,0,0,0
11320-74,126.37,2,18,0,7
11590-100227645,37.24,2,0,0,0
11500-100227247,0.0,2,0,0,0
11530-746,0.0,5,0,0,0
11410-179,207.39,2,16,0,11
11500-636,29.17,3,0,0,13
11560-100232814,298.11,2,0,0,34
11410-180,282.717,2,123,0,137
11680-100246489,299.829,5,368,0,645
11410-184,275.98,3,240,0,0
11410-185,286.9,4,242,0,248
11590-45,98.5,9,0,0,0
11410-187,360.85,2,482,0,160
11740-100178414,69.99,2,0,0,0
11410-189,283.77,1,246,0,81
11410-190,265.6,6,344,0,519
11110-397,45.88,2,0,0,4
11410-191,0.0,2,18,0,0
11170-138,60.02,3,0,0,0
11740-100258542,185.05,3,45,0,32
11410-194,0.0,3,0,0,0
11320-258,0.0,0,0,2,0
11590-100230645,260.14,8,471,0,563
11410-196,0.0,2,139,0,0
11230-266,248.69,7,216,0,290
11320-521,0.0,0,15,0,0
11305-100201781,199.34,2,18,0,15
11320-289,181.21,2,19,0,6
11410-198,0.0,3,0,0,0
11410-199,0.0,2,12,0,0
11410-20,0.0,2,18,0,0
11410-258,149.98,5,0,0,114
11320-295,85.7,3,15,0,3
11410-100196471,172.53,2,0,8,0
11410-260,296.54,7,488,0,347
11470-100202427,0.0,2,0,0,4
11470-573,286.37,15,1140,0,1376
11470-100189337,201.52,2,15,0,12
11410-261,253.44,37,1431,0,1188
11410-262,306.37,4,294,0,0
11320-333,216.84,2,17,0,20
11410-269,0.0,5,616,0,749
11410-272,52.73,2,0,0,1
11320-341,147.65,2,19,0,7
11320-511,0.0,0,0,0,0
11320-100183769,199.49,2,18,0,18
11410-274,328.86,10,1155,0,1322
11590-1088,0.0,4,0,0,0
11650-72,174.16,2,0,0,20
11710-138,0.0,2,0,0,14
11545-289,105.11,2,0,1,0
11410-277,195.86,2,16,0,16
11560-1021,0.0,4,0,4,0
11410-281,143.51,2,0,0,2
11410-283,260.03,8,340,0,491
11200-517,0.0,0,0,1,0
11410-288,0.0,3,36,0,0
11410-289,49.28,2,0,0,31
11410-291,0.0,3,36,0,12
11740-100258842,199.97,2,18,0,12
11110-661,0.0,6,0,0,0
11410-292,0.0,2,16,0,0
11410-293,0.0,2,12,0,0
11140-1302,0.0,0,0,1,0
11545-100218697,149.95,2,16,0,13
11410-296,0.0,3,19,0,6
11410-297,0.0,3,72,0,17
11530-100221993,198.61,2,20,0,16
11410-30,151.31,2,0,0,23
11410-305,0.0,2,11,0,0
11410-306,0.0,7,23,0,9
11410-307,0.0,6,45,0,26
11410-308,0.0,2,10,0,6
11410-31,0.0,4,390,0,0
11590-524,0.0,2,0,2,0
11410-311,135.31,5,0,0,67
11410-33,0.0,2,9,0,6
11170-151,114.15,3,0,0,41
11410-337,0.0,2,0,0,0
11170-100182145,199.84,2,0,0,18
11350-327,0.0,4,0,0,0
11215-100213261,0.0,0,0,0,21
11110-528,0.0,2,0,1,0
11410-344,0.0,2,0,2,0
11410-349,0.0,2,0,1,0
11320-356,192.21,2,17,0,6
11410-35,0.0,11,193,0,0
11410-356,0.0,3,0,2,0
11320-465,216.23,2,16,0,12
11320-469,190.25,2,11,0,8
11410-370,0.0,3,0,0,0
11320-474,206.56,2,16,0,11
11320-475,300.0,1,76,0,78
11410-100181760,0.0,2,0,1,0
11410-375,0.0,2,0,2,0
11110-531,0.0,3,0,1,0
11410-38,0.0,6,72,0,0
11410-39,0.0,2,4,0,0
11410-394,127.99,2,0,0,44
11410-395,0.0,2,0,1,0
11380-498,0.0,2,0,0,0
11380-582,0.0,0,0,3,0
11110-538,0.0,2,0,1,0
11530-359,0.0,2,0,0,0
11380-599,0.0,0,0,2,0
11380-127,0.0,2,0,2,0
11410-397,0.0,2,0,0,0
11380-657,0.0,2,16,0,0
11380-100182217,199.34,2,16,0,16
11410-400,0.0,2,0,5,0
11410-402,102.6602,2,0,0,51
11410-404,385.41,4,192,0,255
11410-405,220.51,3,228,0,178
11410-406,229.33,3,139,0,193
11410-41,0.0,2,12,0,0
11410-42,0.0,2,8,0,0
11410-420,0.0,2,0,1,0
11410-427,0.0,2,0,0,0
11410-201,0.0,4,7,0,0
11410-202,0.0,2,12,0,3
11410-203,0.0,2,8,0,3
11560-100186445,245.19,2,91,0,104
11560-100186864,55.18,3,0,0,5
11680-100206103,187.27,8,407,0,441
11680-406,356.95,4,348,0,389
11260-304,0.0,2,0,2,0
11410-204,0.0,5,40,0,0
11410-205,0.0,2,5,0,0
11410-206,0.0,5,1,0,0
11410-207,0.0,4,0,0,0
11410-21,0.0,2,60,0,0
11560-1529,0.0,2,0,0,0
11710-100506261,168.47,27,2200,0,2345
11560-2001,0.0,2,0,3,0
11410-212,0.0,3,0,3,0
11410-213,0.0,2,0,0,0
11560-1153,72.36,2,0,0,6
11560-1183,0.0,2,0,2,0
11410-218,0.0,2,0,2,0
11560-2071,108.43,2,0,0,10
11410-219,0.0,2,0,3,0
11560-2089,157.33,2,11,0,11
11500-884,185.64,2,16,0,16
11410-226,0.0,3,0,2,0
11410-230,0.0,2,0,2,0
11530-100184079,199.83,3,80,0,92
11410-239,31.05,4,0,0,22
11410-24,0.0,2,16,0,3
11500-617,76.14,2,1,0,1
11560-68,0.0,2,0,4,0
11410-200,0.0,4,88,0,0
11110-753,0.0,4,8,0,0
11380-100188864,199.52,2,14,0,14
11380-100188893,199.14,2,22,0,21
11410-247,87.33,2,19,0,12
11410-248,152.68,2,19,0,10
11410-251,172.95,2,19,0,5
11410-254,270.96,9,581,0,732
11380-100189272,103.34,2,0,1,0
11290-100215832,79.96,2,0,1,4
11380-762,69.88,2,0,0,14
11380-768,198.34,7,178,0,210
11380-773,269.09,2,201,0,266
11380-778,232.6,2,119,0,160
11305-100194291,76.4,2,0,2,4
11380-790,0.0,2,16,0,0
11380-799,218.72,2,18,0,8
11320-100204780,189.42,8,80,0,66
11350-216,99.19,4,0,0,0
11380-100193821,186.21,12,660,0,764
11380-100194600,202.3,2,17,0,15
11380-81,0.0,24,0,0,0
11380-821,110.43,2,0,0,0
11380-822,14.23,2,0,0,6
11380-827,0.0,2,0,1,0
11380-828,2.36,3,0,3,13
11470-733,98.2,2,0,0,21
11380-841,53.94,3,0,0,58
11380-87,0.0,2,0,1,0
11380-744,298.79,4,230,0,224
11380-89,0.0,2,0,0,0
11380-98,306.72,5,366,0,373
11200-608,0.0,0,0,4,0
11410-1,0.0,3,45,0,0
11410-10,0.0,6,150,0,0
11680-304,298.54,3,137,0,340
11110-710,0.0,2,0,1,0
11110-100212792,241.46,9,589,0,760
11110-100220505,70.95,2,7,0,20
11410-100181515,105.88,2,0,0,0
11320-59,49.68,2,0,0,7
11410-100181531,75.75,3,0,0,0
11260-503,0.0,2,0,2,0
11290-100187814,199.89,2,16,0,16
11410-100181535,0.0,2,0,1,0
11410-100181538,0.0,2,0,1,0
11410-100181539,0.0,2,0,0,0
11410-100181569,0.0,2,0,0,0
11410-100181590,0.0,3,0,3,0
11410-100181591,0.0,4,0,4,0
11320-303,97.52,2,9,0,1
11320-304,161.42,2,17,0,12
11410-100181600,0.0,2,0,1,0
11200-345,133.37,1,0,5,0
11410-100181602,0.0,3,0,1,0
11410-100181603,0.0,4,0,4,0
11680-100296275,225.63,2,40,0,30
11290-1322,0.0,2,0,2,0
11410-100181606,0.0,2,0,2,0
11410-100181613,0.0,2,0,0,0
11410-100181616,0.0,3,0,2,0
11320-214,78.49,2,16,0,3
11320-1,182.66,2,14,0,10
11200-925,0.0,4,0,0,0
11410-100181625,0.0,3,0,3,0
11410-100181632,0.0,2,0,2,0
11410-100181633,0.0,2,0,1,0
11140-661,0.0,0,0,0,0
11410-100181637,0.0,2,0,0,0
11410-100181644,0.0,2,0,0,0
11410-100182098,0.0,5,0,5,0
11410-100182105,0.0,3,0,3,0
11410-100181645,0.0,4,0,3,0
11410-100182008,0.0,0,0,2,0
11410-100181648,0.0,2,0,0,0
11410-100181664,0.0,2,0,1,0
11230-504,107.58,2,0,7,2
11410-100181705,0.0,2,0,0,0
11410-100181706,0.0,2,0,3,0
11410-100181708,0.0,2,0,1,0
11410-100181753,0.0,2,0,0,0
11410-100181755,0.0,2,0,0,0
11410-100181761,0.0,2,0,1,0
11410-100181762,0.0,3,0,1,0
11470-742,96.56,2,0,1,0
11500-100196813,175.16,2,16,0,16
11410-100181769,0.0,4,0,2,0
11410-100181774,0.0,2,0,0,0
11350-174,195.45,12,780,0,989
11530-1022,363.75,12,965,0,1052
11410-100181816,0.0,2,0,2,0
11410-100181820,0.0,2,0,8,0
11410-100181868,0.0,2,0,2,0
11410-100181874,0.0,2,0,0,0
11410-100181885,0.0,2,0,1,0
11410-100181897,0.0,2,0,1,0
11470-411,231.63,2,74,0,82
11470-421,240.68,2,16,0,12
11470-424,323.32,4,106,0,129
11470-428,61.34,1,0,0,3
11410-100181898,0.0,2,0,2,0
11470-100182927,55.75,2,0,0,0
11410-100181902,0.0,2,0,0,0
11410-100181909,0.0,2,0,2,0
11410-100181912,0.0,3,0,3,0
11470-100185287,192.17,3,120,0,140
11410-100181921,0.0,2,0,0,0
11470-555,88.7,2,0,0,0
11410-100181924,0.0,2,0,0,0
11470-558,248.58,7,326,0,350
11215-217,76.31,2,0,1,5
11410-100181941,0.0,2,0,0,0
11410-100181943,0.0,3,0,2,0
11470-198,298.34,3,150,0,149
11410-100181950,0.0,0,0,1,0
11470-208,69.5,2,0,0,2
11410-100181956,0.0,2,0,2,0
11410-100181960,0.0,2,0,2,0
11470-652,227.13,2,88,0,95
11470-283,248.73,2,186,0,187
11470-284,296.08,3,189,0,182
11470-697,0.0,0,0,5,0
11410-100181987,0.0,2,0,1,0
11410-100181998,0.0,2,0,1,0
11470-291,235.5,2,49,0,54
11470-292,257.27,4,230,0,420
11410-100181999,0.0,2,0,2,0
11410-100182003,0.0,2,0,2,0
11410-100182012,0.0,2,0,1,0
11410-100182014,0.0,2,0,1,0
11410-100182031,0.0,2,0,1,0
11410-100182039,0.0,3,0,3,0
11410-100182057,0.0,2,0,1,0
11410-100182059,0.0,2,0,0,0
11410-100182061,0.0,2,0,0,0
11410-100182083,0.0,2,0,2,0
11410-100182155,0.0,2,0,2,0
11410-100182159,0.0,2,0,0,0
11410-100182094,0.0,3,4,2,0
11410-100182097,0.0,2,0,0,0
11410-100182101,0.0,7,0,0,0
11410-100182109,0.0,2,0,1,0
11470-100202665,177.12,2,25,0,19
11410-100182114,0.0,2,0,1,0
11410-100182115,0.0,36,0,0,0
11410-100182125,0.0,2,0,1,0
11410-100182193,0.0,0,0,2,0
11410-100182127,0.0,2,0,2,0
11410-100182195,0.0,0,0,1,0
11410-100182128,0.0,2,0,2,0
11410-100182197,0.0,0,0,2,0
11260-473,0.0,2,0,0,9
11410-100182146,87.2,1,0,1,17
11410-100182152,0.0,2,0,1,0
11410-100182153,0.0,3,0,1,0
11410-100182238,0.0,0,0,2,0
11410-100182154,0.0,2,0,1,0
11410-100182156,0.0,5,0,0,0
11500-856,102.47,2,0,1,0
11410-100182243,0.0,0,0,2,0
11410-100182157,0.0,2,0,0,0
11410-100182245,0.0,0,0,2,0
11410-100182160,0.0,2,0,0,0
11410-100182167,0.0,3,2,1,0
11410-100182169,0.0,2,0,1,0
11620-433,0.0,6,120,0,0
11410-100182251,0.0,0,0,4,0
11410-100182171,0.0,2,0,2,0
11410-100182184,0.0,0,0,1,0
11410-100182194,0.0,0,0,0,0
11410-100182196,0.0,0,0,0,0
11410-100182212,0.0,0,0,2,0
11410-100182234,0.0,2,0,2,0
11410-100182235,0.0,2,0,2,0
11410-100182240,0.0,0,0,1,0
11410-100182241,0.0,0,0,0,0
11410-100182248,0.0,0,0,0,0
11410-100182266,0.0,0,0,1,0
11410-100182268,0.0,0,0,2,0
11410-100182252,129.87,2,0,0,0
11410-100182271,0.0,0,0,2,0
11410-100182272,0.0,0,0,1,0
11410-100182273,0.0,0,0,2,0
11410-100182274,0.0,0,0,2,0
11410-100182293,0.0,2,0,2,0
11410-100183722,244.582,3,180,0,201
11410-100182256,0.0,0,0,2,0
11410-100182259,0.0,0,0,1,0
11410-100182262,0.0,2,0,1,0
11530-100192476,149.78,2,16,0,14
11470-466,0.0,2,0,2,0
11410-100181930,0.0,0,0,0,0
11410-100182279,0.0,3,0,2,0
11500-815,95.58,2,0,0,4
11530-764,100.9,2,0,19,0
11500-100262572,199.98,2,23,0,15
11215-290,57.31,10,0,0,193
11545-100183425,55.61,2,0,0,9
11410-100184565,0.0,2,0,0,0
11410-100184945,0.0,2,0,0,0
11545-100184745,196.83,2,14,0,14
11410-100184947,0.0,4,0,0,0
11410-100184985,0.0,0,0,0,0
11410-100184987,0.0,0,0,0,0
11530-100205020,45.4,2,0,0,3
11410-100184988,0.0,0,0,0,0
11545-814,71.72,21,0,0,0
11410-100184992,0.0,0,0,0,0
11410-100184993,0.0,0,0,0,0
11410-100185248,237.4,6,362,0,436
11590-864,87.31,2,0,1,0
11590-100246513,190.74,2,12,0,9
11590-100249133,170.09,2,15,0,12
11590-294,0.0,2,0,0,0
11545-561,190.87,2,0,0,53
11590-100249173,197.68,2,14,0,14
11410-100185849,0.0,3,0,0,0
11410-100185868,0.0,2,0,0,0
11410-100185968,0.0,2,0,0,0
11410-100186009,0.0,2,0,0,0
11410-100186013,0.0,3,0,0,0
11410-100186015,0.0,2,0,0,0
11560-1805,0.0,3,0,0,0
11230-433,0.0,7,0,6,0
11410-100186471,70.34,3,0,0,48
11410-100186728,238.16,2,16,0,20
11260-100248784,193.93,9,99,0,70
11500-230,0.0,12,990,0,0
11200-343,137.17,1,0,5,1
11230-358,0.0,0,0,6,0
11500-530,205.88,2,16,0,11
11200-1232,36.8542,7,0,0,151
11500-852,23.4139,2,0,0,84
11410-100188429,0.0,0,0,0,0
11410-100188582,0.0,0,0,0,0
11500-347,0.0,2,0,0,0
11230-361,0.0,0,0,2,0
11230-362,0.0,0,0,2,0
11410-100189660,63.51,2,0,0,17
11410-86,0.0,2,0,5,0
11410-100190222,198.41,2,0,0,16
11470-100231619,268.03,6,499,0,334
11410-100182215,0.0,2,0,2,0
11410-100191292,92.64,2,6,0,19
11410-100191343,49.8405,4,0,0,0
11230-364,0.0,0,0,2,0
11230-365,0.0,0,0,2,0
11410-100191927,140.6,2,27,0,11
11230-368,47.13,2,0,0,0
11410-100193178,199.86,2,20,0,16
11230-37,0.0,0,0,3,0
11410-100193682,199.86,2,16,0,13
11410-396,0.0,2,0,0,0
11410-100194102,183.26,2,24,0,20
11230-372,0.0,0,0,2,0
11500-535,232.84,2,16,0,12
11500-733,104.05,2,0,6,0
11290-100255406,187.0,2,0,0,8
11650-100190190,115.6,2,6,0,6
11650-196,49.24,1,0,0,6
11650-60,195.17,2,18,0,24
11410-100194142,198.2,2,28,0,20
11410-100194397,195.5,2,0,0,16
11410-100194978,216.76,5,195,0,233
11230-384,0.0,0,0,2,0
11410-100195263,149.94,2,16,0,13
11410-100195510,192.27,2,20,0,16
11140-130,0.0,0,0,1,0
11410-100195770,183.41,2,16,0,13
11410-100195991,197.81,2,18,0,15
11410-100196251,217.22,2,16,0,12
11470-100217763,166.68,2,24,0,18
11620-170,216.28,2,0,2,15
11230-386,0.0,0,0,0,0
11410-100196391,0.0,0,0,0,0
11410-100196492,0.0,2,0,0,0
11620-373,0.0,5,338,0,0
11410-100197136,0.0,2,0,0,0
11410-100197301,199.52,2,22,0,17
11410-100197397,0.0,2,0,0,0
11410-100197787,199.79,2,16,0,14
11410-100198001,131.9,7,0,0,142
11410-100198341,37.17,0,0,0,32
11410-100198644,164.6,0,0,0,8
11410-100199053,199.97,3,28,0,23
11410-100199335,244.92,2,0,0,95
11410-100200166,195.23,2,14,0,11
11410-100200681,140.33,3,29,0,31
11230-390,0.0,0,0,0,0
11410-100201241,0.0,2,0,0,0
11230-392,90.71,3,0,0,19
11230-393,0.0,0,0,2,0
11410-100205541,199.48,2,16,0,13
11560-457,0.0,2,0,0,0
11560-487,0.0,2,0,2,0
11230-397,0.0,1,0,1,0
11230-399,0.0,0,0,6,0
11560-409,28.71,2,0,0,1
11140-15,0.0,0,0,1,0
11140-156,133.47,2,0,0,33
11560-500,119.14,2,0,0,2
11140-163,0.0,0,0,0,0
11230-403,283.24,2,0,3,0
11140-167,0.0,0,0,1,0
11545-388,100.35,2,0,0,2
11140-17,0.0,0,0,0,0
11230-407,150.8,2,15,0,6
11560-993,0.0,0,0,0,0
11140-175,0.0,0,0,1,0
11140-176,137.04,0,0,0,0
11140-145,0.0,0,0,0,0
11140-181,0.0,0,0,1,0
11140-184,0.0,0,0,0,0
11620-194,245.51,4,177,0,195
11140-187,0.0,0,0,0,0
11140-188,0.0,0,0,1,0
11140-191,0.0,0,0,2,0
11140-195,0.0,0,0,1,0
11140-196,243.48,2,0,0,238
11140-2,0.0,0,0,1,0
11140-20,122.71,4,0,0,75
11620-432,52.15,3,0,0,45
11110-100185661,153.87,2,0,0,16
11140-202,42.02,4,0,0,0
11140-203,0.0,0,0,0,0
11620-501,49.81,2,0,0,79
11140-211,0.0,0,0,0,0
11140-213,140.53,5,0,0,0
11140-214,69.72,2,0,0,3
11230-413,165.55,2,17,0,12
11200-1114,0.0,0,0,0,0
11200-1123,0.0,0,0,1,0
11140-219,56.34,1,0,0,0
11200-1224,199.91,2,14,0,10
11200-1238,83.27,2,0,0,0
11140-22,0.0,0,0,0,0
11740-588,50.08,11,0,0,69
11140-100234963,575.75,2,0,0,1
11230-42,387.91,1,245,0,101
11140-220,190.54,2,16,0,12
11140-226,0.0,0,0,0,0
11140-230,0.0,0,0,0,0
11140-237,0.0,0,0,0,0
11140-239,0.0,0,0,0,0
11200-18,245.53,3,0,0,17
11200-19,299.19,1,28,0,31
11230-424,0.0,0,0,13,0
11200-238,131.15,2,0,2,0
11230-425,0.0,0,0,8,0
11200-281,0.0,0,0,0,0
11530-100227573,199.69,3,29,0,25
11200-332,71.9,2,0,0,90
11200-34,58.34,2,0,0,0
11710-100241779,79.81,3,0,3,27
11710-100455188,135.45,2,0,0,86
11710-100459066,199.44,2,16,0,12
11710-100459197,199.66,2,16,0,16
11710-100459768,107.87,2,0,0,2
11710-100472222,199.04,3,33,0,27
11200-457,0.0,0,0,0,0
11710-100474262,197.43,3,29,0,23
11230-435,0.0,0,0,25,0
11410-253,299.62,8,562,0,637
11200-586,63.21,2,0,0,11
11710-100498843,248.49,2,0,0,110
11710-100505517,199.98,2,20,0,16
11200-593,46.13,3,0,0,6
11710-123,0.0,2,0,0,0
11230-445,0.0,0,0,0,0
11200-706,148.74,2,0,0,14
11710-126,0.0,2,0,0,0
11710-129,89.04,2,0,0,39
11710-139,50.36,2,0,0,0
11200-776,0.0,0,0,0,0
11200-793,0.0,0,0,1,0
11200-8,45.32,2,0,0,6
11710-154,235.65,2,0,0,14
11230-455,0.0,0,0,2,0
11230-457,0.0,0,0,2,0
11230-46,172.38,2,310,0,122
11230-460,0.0,0,0,1,0
11230-463,0.0,0,0,1,0
11230-464,0.0,0,0,6,0
11140-263,0.0,0,0,0,0
11230-467,0.0,0,0,2,0
11140-245,0.0,0,0,1,0
11200-977,0.0,0,0,0,0
11140-3,0.0,0,0,1,0
11140-305,0.0,0,0,1,0
11140-31,0.0,0,0,1,0
11140-312,0.0,0,0,1,0
11140-318,0.0,0,0,1,0
11230-476,0.0,0,0,2,0
11140-32,0.0,0,0,0,0
11230-478,0.0,0,0,2,0
11140-33,0.0,0,0,1,0
11140-342,0.0,0,0,0,0
11140-343,0.0,0,0,1,0
11230-48,0.0,0,0,2,0
11140-248,0.0,0,0,0,0
11410-100184995,0.0,2,0,0,0
11140-365,0.0,0,0,0,0
11140-37,0.0,0,0,1,0
11500-100201157,89.56,3,0,0,53
11230-484,0.0,0,0,9,0
11230-485,0.0,0,0,5,0
11140-373,0.0,0,0,1,0
11230-486,0.0,0,0,9,0
11140-378,0.0,0,0,1,0
11230-487,0.0,0,0,4,0
11230-488,0.0,0,0,2,0
11230-489,0.0,0,0,4,0
11230-49,0.0,0,0,5,0
11140-256,0.0,0,0,0,0
11500-100202416,149.65,2,14,0,14
11545-723,346.28,3,0,0,34
11230-490,0.0,0,0,2,0
11230-491,0.0,0,0,6,0
11230-492,0.0,0,0,8,0
11230-493,0.0,0,0,1,0
11230-494,0.0,0,0,5,0
11230-496,0.0,0,0,2,0
11230-497,0.0,0,0,3,0
11230-498,0.0,0,0,2,0
11230-499,0.0,0,0,2,0
11230-50,0.0,0,0,2,0
11230-501,0.0,0,0,2,0
11140-399,0.0,0,0,0,0
11140-4,0.0,0,0,0,0
11140-40,0.0,0,0,0,0
11140-406,0.0,0,0,0,0
11140-407,0.0,0,0,0,0
11140-41,0.0,0,0,0,0
11140-417,0.0,0,0,0,0
11710-100515241,223.98,4,220,0,400
11290-100190374,304.25,4,212,0,274
11140-443,0.0,0,0,1,0
11740-100195367,59.28,2,0,0,1
11140-445,0.0,0,0,0,0
11140-446,0.0,0,0,1,0
11470-418,278.48,2,121,0,104
11500-100202494,48.51,2,0,0,1
11140-456,0.0,0,0,0,0
11140-458,0.0,0,0,0,0
11620-100194497,183.98,2,10,0,10
11230-507,0.0,0,0,2,0
11230-508,0.0,0,0,1,0
11140-421,0.0,0,0,1,0
11140-467,0.0,0,0,0,0
11140-423,0.0,0,0,0,0
11140-424,0.0,0,0,0,0
11140-469,0.0,0,0,0,0
11590-599,297.59,10,1377,0,930
11650-100189410,70.86,2,0,0,0
11710-100516501,9.46,5,0,0,33
11230-510,0.0,2,0,1,0
11140-512,0.0,0,0,0,0
11140-514,0.0,0,0,1,0
11140-515,0.0,0,0,0,0
11140-528,0.0,0,0,1,0
11470-100186307,31.35,2,0,0,0
11140-425,0.0,0,0,0,0
11230-518,229.06,2,0,7,0
11140-539,0.0,0,0,1,0
11230-52,0.0,0,0,2,0
11140-541,0.0,0,0,1,0
11410-100185869,0.0,2,0,0,0
11140-426,0.0,0,0,0,0
11140-544,0.0,0,0,0,0
11140-546,0.0,0,0,1,0
11140-429,0.0,0,0,1,0
11140-43,0.0,0,0,1,0
11140-44,0.0,0,0,1,0
11140-55,0.0,0,0,1,0
11140-553,0.0,0,0,0,0
11140-554,0.0,0,0,0,0
11140-558,0.0,0,0,0,0
11140-562,0.0,0,0,0,0
11140-565,0.0,0,0,1,0
11140-566,0.0,0,0,0,0
11140-567,0.0,0,0,1,0
11140-57,0.0,0,0,1,0
11140-581,212.41,2,0,0,2
11140-585,0.0,2,0,1,0
11200-100205994,0.0,2,0,2,0
11140-592,0.0,0,0,1,0
11200-100208957,211.98,4,272,0,277
11140-594,0.0,0,0,1,0
11140-598,0.0,0,0,0,0
11140-599,0.0,0,0,1,0
11140-60,0.0,0,0,1,0
11140-602,0.0,0,0,0,0
11140-574,0.0,0,0,0,0
11140-575,0.0,0,0,1,0
11200-100209657,199.12,3,29,0,27
11140-61,0.0,0,0,0,0
11140-610,0.0,0,0,0,0
11410-100186014,0.0,2,0,0,0
11140-611,91.51,2,0,1,0
11680-100194871,129.21,2,0,8,6
11410-100181514,0.0,0,0,2,0
11200-100210697,199.32,4,40,0,36
11140-615,0.0,0,0,0,0
11140-617,0.0,0,0,1,0
11410-484,199.78,2,11,0,11
11140-626,100.73,7,0,0,14
11140-628,64.05,0,0,0,1
11410-66,0.0,2,0,2,0
11140-629,108.8,2,0,0,4
11230-535,0.0,0,0,1,0
11200-100212657,178.43,2,20,0,12
11140-635,218.82,2,2,0,4
11140-64,0.0,0,0,0,0
11140-653,0.0,0,0,1,0
11140-656,0.0,0,0,0,0
11500-43,217.97,2,16,0,14
11230-541,120.02,2,0,2,0
11230-542,0.0,2,0,2,0
11140-660,0.0,0,0,0,0
11230-211,0.0,0,0,2,0
11140-666,0.0,0,0,1,0
11140-668,110.8,6,0,0,54
11140-670,0.0,0,0,1,0
11140-673,0.0,0,0,0,0
11140-682,0.0,0,0,0,0
11140-687,0.0,0,0,1,0
11140-689,214.9,2,16,0,14
11140-69,0.0,0,0,1,0
11140-690,233.21,2,14,0,4
11140-709,0.0,0,0,1,0
11140-715,0.0,0,0,1,0
11410-100182040,0.0,0,0,3,0
11410-161,0.0,2,0,2,0
11140-72,0.0,0,0,0,0
11140-735,0.0,0,0,0,0
11410-18,0.0,3,9,0,0
11410-100182198,0.0,2,0,2,0
11230-215,0.0,0,0,2,0
11410-16,0.0,2,5,0,0
11230-216,0.0,0,0,9,0
11140-728,0.0,0,0,0,0
11140-738,42.67,2,0,0,0
11410-100181806,0.0,2,0,2,0
11140-732,0.0,0,0,1,0
11140-746,247.4,3,0,1,1
11410-100186012,0.0,2,0,0,0
11140-747,75.7,3,0,0,0
11140-748,38.91,2,0,0,0
11140-750,272.74,2,0,0,6
